
5.1.1 Antal döda per 100 000 barn 0-20 år i Sverige fördelat på dödsorsak och kön;Antal//NN|UTR|PLU|IND|NOM//nmod//1 döda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//1 per//PP//case//5 100//RG|NOM//nummod//4 000//RG|NOM//nummod//5 barn//NN|NEU|PLU|IND|NOM//obl//1 till//PP//case//9 följd//NN|UTR|SIN|IND|NOM//fixed//6 av//PP//fixed//6 olycksfall//NN|NEU|PLU|IND|NOM//obl//1
5.1.1 Antal döda per 100 000 barn 0-20 år i Sverige fördelat på dödsorsak och kön;Antal//NN|UTR|PLU|IND|NOM//nmod//1 döda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//1 per//PP//case//5 100//RG|NOM//nummod//4 000//RG|NOM//nummod//5 barn//NN|NEU|PLU|IND|NOM//obl//1 till//PP//case//10 följd//NN|UTR|SIN|IND|NOM//fixed//6 av//PP//fixed//6 övergrepp///PM|GEN//fixed//6 våld//NN|NEU|SIN|IND|NOM//obl//1
5.1.1 Antal döda per 100 000 barn 0-20 år i Sverige fördelat på dödsorsak och kön;Pojkar//NN|UTR|PLU|IND|NOM//ROOT//0 (//PAD//punct//0 trend//NN|UTR|SIN|IND|NOM//appos//0 )//PAD//punct//0
5.1.1 Antal döda per 100 000 barn 0-20 år i Sverige fördelat på dödsorsak och kön;Flickor//NN|UTR|PLU|IND|NOM//ROOT//0 (//PAD//punct//2 trend//NN|UTR|SIN|IND|NOM//appos//0 )//PAD//punct//2
5.1.1 Antal döda per 100 000 barn 0-20 år i Sverige fördelat på dödsorsak och kön;Antal//NN|UTR|PLU|IND|NOM//nmod//1 döda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//1 per//PP//case//5 100//RG|NOM//nummod//4 000//RG|NOM//nummod//5 barn//NN|NEU|PLU|IND|NOM//obl//1 till//PP//case//9 följd//NN|UTR|SIN|IND|NOM//fixed//6 av//PP//fixed//6 självmord//NN|NEU|SIN|IND|NOM//obl//1 inklusive//PP//case//12 oklar//JJ|POS|UTR|SIN|IND|NOM//amod//12 avsikt//NN|UTR|SIN|IND|NOM//nmod//9


5.2.1 Antal skadade per 1000 barn 0-20 år i Sverige fördelat på skadetyp, kön och åldersgrupp 1987–2000;Antal//NN|UTR|PLU|IND|NOM//nsubj//1 skadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//1 per//PP//case//4 1000//RG|NOM//nummod//4 barn//NN|NEU|PLU|IND|NOM//obl//1 till//PP//case//8 följd//NN|UTR|SIN|IND|NOM//fixed//5 av//PP//fixed//5 vägtransportolycka//NN|UTR|SIN|IND|NOM//obl//1
5.2.1 Antal skadade per 1000 barn 0-20 år i Sverige fördelat på skadetyp, kön och åldersgrupp 1987–2000;"Antal//NN|UTR|PLU|IND|NOM//nsubj//1 skadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//1 per//PP//case//4 1000//RG|NOM//nummod//4 barn//NN|NEU|PLU|IND|NOM//obl//1 till//PP//case//9 följd//NN|UTR|SIN|IND|NOM//fixed//5 av//PP//fixed//5 annat//JJ|POS|NEU|SIN|IND|NOM//amod//9 olycksfall//NN|NEU|SIN|IND|NOM//obl//1 ;//MID//punct//1"
5.2.1 Antal skadade per 1000 barn 0-20 år i Sverige fördelat på skadetyp, kön och åldersgrupp 1987–2000;drunkning//NN|UTR|SIN|IND|NOM//parataxis//1 ,//MID//punct//13 förgiftning//NN|UTR|SIN|IND|NOM//conj//11 ,//MID//punct//15 brand//NN|UTR|SIN|IND|NOM//conj//11 ,//MID//punct//17 övrigt//JJ|POS|NEU|SIN|IND|NOM//conj//11
5.2.1 Antal skadade per 1000 barn 0-20 år i Sverige fördelat på skadetyp, kön och åldersgrupp 1987–2000;Antal//NN|UTR|PLU|IND|NOM//nsubj//1 skadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//1 per//PP//case//4 1000//RG|NOM//nummod//4 barn//NN|NEU|PLU|IND|NOM//obl//1 till//PP//case//8 följd//NN|UTR|SIN|IND|NOM//fixed//5 av//PP//fixed//5 fallolycka//NN|UTR|SIN|IND|NOM//obl//1
5.2.1 Antal skadade per 1000 barn 0-20 år i Sverige fördelat på skadetyp, kön och åldersgrupp 1987–2000;Pojkar//NN|UTR|PLU|IND|NOM//ROOT//0 0-12//RG|NOM//nummod//2 år//NN|NEU|PLU|IND|NOM//nmod//0
