Uppföljning av Trafikverkets totalentreprenader – uppföljning av 11 vägprojekt;På//PP//case//1 uppdrag//NN|NEU|SIN|IND|NOM//ROOT//1 av//PP//case//5 Produktivitetskommittén//NN|UTR|SIN|DEF|NOM//nmod:poss//4 ©//PM|NOM//nmod//5 Prolog//PM|NOM//nmod//1 2011//RG|NOM//nummod//5

Introduktion;Produktivitetskommittén//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 hösten//NN|UTR|SIN|DEF|NOM//nmod//3 2011//RG|NOM//obl//4 lämnat//VB|SUP|AKT//conj//1 ett//DT|NEU|SIN|IND//det//6 uppdrag//NN|NEU|SIN|IND|NOM//obj//4 till//PP//case//8 Prolog//NN|UTR|SIN|IND|NOM//nmod//6 att//IE//mark//10 göra//VB|INF|AKT//acl//6 en//DT|UTR|SIN|IND//det//12 uppföljning//NN|UTR|SIN|IND|NOM//obj//10 av//PP//case//14 11//RG|NOM//nmod//12 av//PP//case//17 Trafikverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//17 totalentreprenader//NN|UTR|PLU|IND|NOM//nmod//14 .//MAD//punct//1
Introduktion;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//20 bestod//VB|PRT|AKT//parataxis//1 i//PP//mark//23 att//IE//mark//23 göra//VB|INF|AKT//advcl//20 en//DT|UTR|SIN|IND//det//25 uppföljning//NN|UTR|SIN|IND|NOM//obj//23 av//PP//case//27 11//RG|NOM//nmod//25 av//PP//case//30 de//DT|UTR/NEU|PLU|DEF//det//30 totalentreprenader//NN|UTR|PLU|IND|NOM//nmod//27 på//PP//case//32 vägprojekt//NN|NEU|PLU|IND|NOM//nmod//30 som//HP|-|-|-//nsubj:pass//34 upphandlats//VB|SUP|SFO//acl:relcl//30 av//PP//case//36 Trafikverket//PM|NOM//obl:agent//34 2009-2011//RG|NOM//nummod//36 .//MAD//punct//20
Introduktion;Uppföljningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//40 gjordes//VB|PRT|SFO//conj//20 genom//PP//case//42 intervjuer//NN|UTR|PLU|IND|NOM//obl//40 med//PP//case//45 entreprenadernas//NN|UTR|PLU|DEF|GEN//nmod:poss//45 beställare//NN|UTR|SIN|IND|NOM//nmod//42 ,//MID//punct//47 entreprenör//NN|UTR|SIN|IND|NOM//conj//45 och//KN//cc//49 projektör//NN|UTR|SIN|IND|NOM//conj//45 .//MAD//punct//40
Introduktion;Val//NN|NEU|SIN|IND|NOM//nsubj:pass//58 av//PP//case//53 entreprenader//NN|UTR|PLU|IND|NOM//nmod//51 och//KN//cc//55 framtagande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//51 av//PP//case//57 intervjufrågor//NN|UTR|PLU|IND|NOM//nmod//55 gjordes//VB|PRT|SFO//conj//40 i//PP//case//60 samråd//NN|NEU|SIN|IND|NOM//obl//58 med//PP//case//62 Produktivitetskommittén//NN|UTR|SIN|DEF|NOM//nmod//60 och//KN//cc//64 Trafikverket//PM|NOM//conj//62 .//MAD//punct//20
Introduktion;Intervjufrågorna//NN|UTR|PLU|DEF|NOM//nsubj//1 omfattar//VB|PRS|AKT//ROOT//1 frågor//NN|UTR|PLU|IND|NOM//obj//1 som//HP|-|-|-//nsubj//5 är//VB|PRS|AKT//aux:pass//5 relevanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//2 ur//PP//case//7 aspekterna//NN|UTR|PLU|DEF|NOM//obl//5 innovationer//NN|UTR|PLU|IND|NOM//obl//5 inom//PP//case//10 produkter//NN|UTR|PLU|IND|NOM//nmod//8 respektive//AB//cc//12 processer//NN|UTR|PLU|IND|NOM//conj//10 ,//MID//punct//15 ,//MID//punct//15 konkurrens//NN|UTR|SIN|IND|NOM//conj//1 ,//MID//punct//17 pris//NN|NEU|SIN|IND|NOM//conj//15 ///MID//cc//19 kostnad//NN|UTR|SIN|IND|NOM//conj//15 ,//MID//punct//21 tid//NN|UTR|SIN|IND|NOM//conj//15 och//KN//cc//23 kvalitet//NN|UTR|SIN|IND|NOM//conj//15 .//MID//punct//1
Introduktion;Intervjuerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//26 utfördes//VB|PRT|SFO//parataxis//1 i//PP//advmod//26 huvudsak//NN|UTR|SIN|IND|NOM//fixed//27 i//PP//case//33 form//NN|UTR|SIN|IND|NOM//fixed//29 av//PP//fixed//29 personliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 möten//NN|NEU|PLU|IND|NOM//obl//26 .//MAD//punct//1
Introduktion;Resultaten//NN|NEU|PLU|DEF|NOM//nsubj:pass//36 analyserades//VB|PRT|SFO//parataxis//1 och//KN//cc//38 sammanställdes//VB|PRT|SFO//conj//36 i//PP//case//41 denna//DT|UTR|SIN|DEF//det//41 rapport//NN|UTR|SIN|IND|NOM//obl//38 .//MAD//punct//1
Introduktion;En//DT|UTR|SIN|IND//det//2 muntlig//JJ|POS|UTR|SIN|IND|NOM//amod//2 redovisning//NN|UTR|SIN|IND|NOM//nsubj:pass//14 av//PP//case//6 de//DT|UTR/NEU|PLU|DEF//det//6 preliminära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 resultaten//NN|NEU|PLU|DEF|NOM//nmod//2 ,//MID//punct//14 efter//PP//mark//14 att//SN//mark//14 ungefär//AB//advmod//11 hälften//NN|UTR|SIN|DEF|NOM//nsubj:pass//14 av//PP//case//13 intervjuerna//NN|UTR|PLU|DEF|NOM//nmod//11 gjorts//VB|SUP|SFO//ROOT//14 ,//MID//punct//16 skedde//VB|PRT|AKT//conj//14 vid//PP//case//19 ett//DT|NEU|SIN|IND//det//19 seminarium//NN|NEU|SIN|IND|NOM//obl//16 i//PP//case//21 Stockholm//PM|NOM//nmod//19 den//DT|UTR|SIN|DEF//det//24 21//RG|NOM//nummod//24 november//NN|UTR|SIN|IND|NOM//obl//16 2011//RG|NOM//nummod//24 ,//MID//punct//24 som//HP|-|-|-//nsubj:pass//28 arrangeras//VB|PRS|SFO//acl:relcl//24 av//PP//case//30 Produktivitetskommittén//NN|UTR|SIN|DEF|NOM//obl:agent//28 .//MAD//punct//14
Introduktion;Petra//PM|NOM//ROOT//0 Offrell//PM|NOM//flat//0 ,//MID//punct//3 Fredrik//PM|NOM//nsubj//14 Friblick//PM|NOM//flat//3 ,//MID//punct//3 Louise//PM|NOM//appos//3 Gårdenborg//PM|NOM//flat//6 och//KN//cc//9 Jan//PM|NOM//conj//6 Kroon//PM|NOM//flat:name//9 från//PP//case//12 Prolog//NN|UTR|SIN|IND|NOM//nmod//9 har//VB|PRS|AKT//aux//14 deltagit//VB|SUP|AKT//parataxis//0 i//PP//case//16 studien//NN|UTR|SIN|DEF|NOM//obl//14 .//MAD//punct//0
