Kärnavfallsrådets yttrande över SKB:s Fud-program 2016;Yttrande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Kärnavfallsrådet//NN|NEU|SIN|DEF|NOM//nmod//0
Kärnavfallsrådets yttrande över SKB:s Fud-program 2016;Stockholm//PM|NOM//ROOT//0 2017//RG|NOM//nummod//0

Till statsrådet och chefen för Miljö- och energidepartementet;Detta//DT|NEU|SIN|DEF//det//1 yttrande//NN|NEU|SIN|IND|NOM//nsubj//2 innehåller//VB|PRS|AKT//ROOT//2 Kärnavfallsrådets//NN|NEU|SIN|DEF|GEN//nmod:poss//10 (//PAD//punct//3 M//PM|NOM//appos//3 1992//RG|NOM//nummod//5 ://MID//punct//3
Till statsrådet och chefen för Miljö- och energidepartementet;A//PM|NOM//appos//3 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 råd//NN|NEU|SIN|IND|NOM//obj//2 för//PP//case//12 kärnavfallsfrågor//NN|UTR|PLU|IND|NOM//nmod//10 )//PAD//punct//10 bedömning//NN|UTR|SIN|IND|NOM//appos//10 av//PP//case//17 Svensk//JJ|POS|UTR|SIN|IND|NOM//amod//17 Kärnbränslehantering//NN|UTR|SIN|IND|NOM//nmod//14 AB//PM|NOM//nmod//17 ://MID//punct//14 s//NN|AN//nmod//14 (//PAD//punct//20 SKB//PM|NOM//conj//20 )//PAD//punct//20 Fud-program//NN|NEU|SIN|IND|NOM//obl//2  //_SP////24 2016//RG|NOM//nummod//24 .//MAD//punct//2
Till statsrådet och chefen för Miljö- och energidepartementet;Program//NN|NEU|SIN|IND|NOM//obj//2 för//PP//case//30 forskning//NN|UTR|SIN|IND|NOM//nmod//28 ,//MID//punct//32 utveckling//NN|UTR|SIN|IND|NOM//conj//30 och//KN//cc//34 demonstration//NN|UTR|SIN|IND|NOM//conj//30 av//PP//case//36 metoder//NN|UTR|PLU|IND|NOM//nmod//34 för//PP//case//38 hantering//NN|UTR|SIN|IND|NOM//nmod//36 och//KN//cc//40 slutförvaring//NN|UTR|SIN|IND|NOM//conj//38 av//PP//case//42 kärnavfall//NN|NEU|SIN|IND|NOM//nmod//40 .//MAD//punct//2
Till statsrådet och chefen för Miljö- och energidepartementet;Kärnavfallsrådet//NN|NEU|SIN|DEF|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 en//DT|UTR|SIN|IND//det//4 tvärvetenskaplig//JJ|POS|UTR|SIN|IND|NOM//amod//4 kommitté//NN|UTR|SIN|IND|NOM//ROOT//4 med//PP//case//6 uppdrag//NN|NEU|SIN|IND|NOM//nmod//4 att//IE//mark//8 ge//VB|INF|AKT//acl//4 regeringen//NN|UTR|SIN|DEF|NOM//iobj//8 råd//NN|NEU|SIN|IND|NOM//obj//8 i//PP//case//12 frågor//NN|UTR|PLU|IND|NOM//obl//8 om//PP//mark//14 använt//VB|SUP|AKT//advcl//4 kärnbränsle//NN|NEU|SIN|IND|NOM//obj//14 ,//MID//punct//17 kärnavfall//NN|NEU|SIN|IND|NOM//conj//15 och//KN//cc//19 rivning//NN|UTR|SIN|IND|NOM//conj//15 av//PP//case//22 kärntekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 anläggningar//NN|UTR|PLU|IND|NOM//nmod//19 .//MAD//punct//4
Till statsrådet och chefen för Miljö- och energidepartementet;Enligt//PP//case//26 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//26 direktiv//NN|NEU|PLU|IND|NOM//obl//29 ska//VB|PRS|AKT//aux//29 Kärnavfallsrådet//NN|NEU|SIN|DEF|NOM//nsubj//29 redovisa//VB|INF|AKT//conj//4 sin//PS|UTR|SIN|DEF//nmod:poss//32 självständiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 bedömning//NN|UTR|SIN|IND|NOM//obj//29 av//PP//case//35 de//DT|UTR/NEU|PLU|DEF//det//35 åtgärder//NN|UTR|PLU|IND|NOM//nmod//32 som//HP|-|-|-//nsubj:pass//37 redovisas//VB|PRS|SFO//acl:relcl//35 i//PP//case//39 SKB//PM|NOM//obl//37 ://MID//punct//29 s//PM|NOM//case//42 Fud-program//NN|NEU|SIN|IND|NOM//nmod//4 .//MAD//punct//4
Till statsrådet och chefen för Miljö- och energidepartementet;Kärnavfallsrådets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 vetenskapliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 sekreterare//NN|UTR|SIN|IND|NOM//nmod//3 Johanna//PM|NOM//nsubj//7 Swedin//PM|NOM//flat:name//3 har//VB|PRS|AKT//aux//7 varit//VB|SUP|AKT//cop//7 projektledare//NN|UTR|SIN|IND|NOM//ROOT//7 för//PP//case//9 granskningsarbetet//NN|NEU|SIN|DEF|NOM//nmod//7 .//MAD//punct//7
Till statsrådet och chefen för Miljö- och energidepartementet;Bakom//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 yttrande//NN|NEU|SIN|IND|NOM//obl//3 står//VB|PRS|AKT//ROOT//3 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//5 ledamöter//NN|UTR|PLU|IND|NOM//nsubj//3 och//KN//cc//7 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//5 i//PP//case//9 Kärnavfallsrådet//NN|NEU|SIN|DEF|NOM//nmod//7 .//MAD//punct//3
Till statsrådet och chefen för Miljö- och energidepartementet;Särskilt//PC|PRF|NEU|SIN|IND|NOM//advmod//12 yttrande//NN|NEU|SIN|IND|NOM//nsubj:pass//14 har//VB|PRS|AKT//aux//14 lämnats//VB|SUP|SFO//parataxis//3 av//PP//case//16 Mikael//PM|NOM//obl:agent//14 Karlsson//PM|NOM//flat//16 .//MAD//punct//3
