– granskning och förslag;Expertrapporter//NN|UTR|SIN|IND|NOM//ROOT//0 från//PP//case//4 2005//RG|NOM//nummod//3 års//NN|NEU|SIN|IND|GEN//nmod:poss//4 katastrofkommission//NN|UTR|SIN|IND|NOM//nmod//0
– granskning och förslag;Stockholm//PM|NOM//ROOT//0 2005//RG|NOM//nummod//0


1. Inledning (1);Annandag//NN|UTR|SIN|IND|NOM//amod//1 jul//NN|UTR|SIN|IND|NOM//nsubj//10 kl.//AB|AN//nmod//3 06:02//RG|NOM//nmod//1 .//MID//punct//1
1. Inledning (1);Ekot//PM|NOM//nmod//1 i//PP//case//7 P1//PM|NOM//nmod//5 har//VB|PRS|AKT//aux//10 just//AB//advmod//10 meddelat//VB|SUP|AKT//ROOT//10 att//SN//mark//16 ett//DT|NEU|SIN|IND//det//14 stort//JJ|POS|NEU|SIN|IND|NOM//amod//14 jordskalv//NN|NEU|SIN|IND|NOM//nsubj//16 har//VB|PRS|AKT//aux//16 inträffat//VB|SUP|AKT//ccomp//10 i//PP//case//18 Sydostasien//PM|NOM//obl//16 och//KN//cc//23 att//SN//mark//23 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 människor//NN|UTR|PLU|IND|NOM//nsubj:pass//23 drabbats//VB|SUP|SFO//conj//16 .//MID//punct//23
1. Inledning (1);Skalvets//NN|NEU|SIN|DEF|GEN//nmod:poss//26 storlek//NN|UTR|SIN|IND|NOM//nsubj//34 (//PAD//punct//26 med//PP//case//30 en//DT|UTR|SIN|IND//det//30 magnitud//NN|UTR|SIN|IND|NOM//appos//26 över//PP//case//32 8.0//RG|NOM//nmod//30 )//PAD//punct//26 gör//VB|PRS|AKT//conj//10 att//SN//mark//38 jag//PN|UTR|SIN|DEF|SUB//nsubj//38 omedelbart//AB|POS//advmod//38 inser//VB|PRS|AKT//ccomp//34 att//SN//mark//45 en//DT|UTR|SIN|IND//det//42 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 katastrof//NN|UTR|SIN|IND|NOM//nsubj//45 kan//VB|PRS|AKT//aux//45 ha//VB|INF|AKT//aux//45 inträffat//VB|SUP|AKT//ccomp//38 och//KN//cc//48 jag//PN|UTR|SIN|DEF|SUB//nsubj//48 börjar//VB|PRS|AKT//conj//34 därför//AB//advmod//48 samla//VB|INF|AKT//xcomp//48 in//PL//compound:prt//50 data//NN|NEU|PLU|IND|NOM//obj//50 och//KN//cc//54 information//NN|UTR|SIN|IND|NOM//conj//52 både//KN//cc//60 från//PP//case//60 vårt//PS|NEU|SIN|DEF//nmod:poss//60 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//60 seismologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//60 nätverk//NN|NEU|SIN|IND|NOM//obl//48 och//KN//cc//64 från//PP//case//64 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 organisationer//NN|UTR|PLU|IND|NOM//conj//60 .//MAD//punct//34
1. Inledning (1);Ungefär//AB//advmod//68 06:15//RG|NOM//nummod//66 börjar//VB|PRS|AKT//conj//34 både//KN//cc//70 hem-//NN|NEU|-|-|SMS//nsubj//68 och//KN//cc//72 mobiltelefonerna//NN|UTR|PLU|DEF|NOM//conj//70 att//IE//mark//74 ringa//VB|INF|AKT//xcomp//68 och//KN//cc//76 fortsätter//VB|PRS|AKT//conj//74 så//AB//advmod//76 ,//MID//punct//77 nästan//AB//advmod//81 utan//PP//case//81 avbrott//NN|NEU|PLU|IND|NOM//obl//76 ,//MID//punct//87 under//PP//case//87 de//DT|UTR/NEU|PLU|DEF//det//87 närmaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//87 två//RG|NOM//nummod//87 dygnen//NN|NEU|PLU|DEF|NOM//conj//68 .//MAD//punct//68
1. Inledning (1);De//DT|UTR/NEU|PLU|DEF//det//91 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//91 veckorna//NN|UTR|PLU|DEF|NOM//nsubj//92 fortsätter//VB|PRS|AKT//parataxis//68 samtalen//NN|NEU|PLU|DEF|NOM//obj//92 med//PP//case//96 hög//JJ|POS|UTR|SIN|IND|NOM//amod//96 intensitet//NN|UTR|SIN|IND|NOM//obl//92 ,//MID//punct//96 mest//AB|SUV//advmod//100 under//PP//case//100 dagtid//NN|UTR|SIN|IND|NOM//obl//92 men//KN//cc//106 även//AB//advmod//106 med//PP//case//106 några//DT|UTR/NEU|PLU|IND//det//106 nattliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//106 samtal//NN|NEU|PLU|IND|NOM//conj//68 från//PP//case//108 Räddningsverket//PM|NOM//nmod//106 ,//MID//punct//110 Rikspolisstyrelsen//PM|NOM//conj//108 och//KN//cc//112 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//conj//108 på//PP//case//114 plats//NN|UTR|SIN|IND|NOM//nmod//106 i//PP//case//116 Thailand//PM|NOM//nmod//114 .//MAD//punct//68
1. Inledning (1);Jag//PN|UTR|SIN|DEF|SUB//nsubj//119 varvar//VB|PRS|AKT//conj//68 timmar//NN|UTR|PLU|IND|NOM//obj//119 av//PP//case//122 samtal//NN|NEU|PLU|IND|NOM//nmod//120 med//PP//case//124 stunder//NN|UTR|PLU|IND|NOM//nmod//122 av//PP//case//127 avstängd//PC|PRF|UTR|SIN|IND|NOM//amod//127 telefon//NN|UTR|SIN|IND|NOM//nmod//124 för//PP//mark//132 att//IE//mark//132 själv//JJ|POS|UTR|SIN|IND|NOM//advmod//132 kunna//VB|INF|AKT//aux//132 följa//VB|INF|AKT//advcl//119 händelseförloppet//NN|NEU|SIN|DEF|NOM//obj//132 .//MID//punct//119
1. Inledning (1);De//DT|UTR/NEU|PLU|DEF//det//137 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//137 samtalen//NN|NEU|PLU|DEF|NOM//nsubj//138 kommer//VB|PRS|AKT//parataxis//119 från//PP//case//140 massmedia//NN|NEU|PLU|IND|NOM//obl//138 ://MID//punct//138
