– konturerna till en ny politisk modell;En//DT|UTR|SIN|IND//det//1 bok//NN|UTR|SIN|IND|NOM//ROOT//1 från//PP//case//3 PISA-projektet//NN|NEU|SIN|DEF|NOM//nmod//1
– konturerna till en ny politisk modell;Jörgen//PM|NOM//ROOT//0 Hermansson//PM|NOM//flat:name//0
– konturerna till en ny politisk modell;Anna//PM|NOM//ROOT//0 Lund//PM|NOM//flat:name//0
– konturerna till en ny politisk modell;Torsten//PM|NOM//ROOT//0 Svensson//PM|NOM//flat:name//0
– konturerna till en ny politisk modell;PerOla//NN|UTR|PLU|DEF|NOM//ROOT//0 Öberg//PM|NOM//flat:name//0
– konturerna till en ny politisk modell;Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 forskarvolym//NN|NEU|SIN|IND|NOM//amod//2 XIII//RG|NOM//ROOT//2
– konturerna till en ny politisk modell;SOU//PM|NOM//nsubj:pass//10 och//KN//cc//2 Ds//PM|NOM//conj//0 som//HP|-|-|-//nsubj//4 ingår//VB|PRS|AKT//acl:relcl//2 i//PP//case//8 1999//RG|NOM//nummod//7 års//NN|NEU|SIN|IND|GEN//nmod:poss//8 nummerserie//NN|UTR|SIN|IND|NOM//obl//4 kan//VB|PRS|AKT//aux//10 köpas//VB|INF|SFO//ROOT//10 från//PP//case//13 Fakta//NN|NEU|SIN|IND|NOM//nmod//13 Info//PM|NOM//obl//10 Direkt//AB|POS//advmod//10 .//MAD//punct//10

Förord;Ett//PN|NEU|SIN|IND|SUB/OBJ//nsubj//6 av//PP//case//3 Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 uppdrag//NN|NEU|SIN|IND|NOM//nmod//0 är//VB|PRS|AKT//cop//0 att//IE//mark//6 summera//VB|INF|AKT//ROOT//6 och//KN//cc//8 värdera//VB|INF|AKT//conj//6 de//DT|UTR/NEU|PLU|DEF//det//11 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//11 årens//NN|NEU|PLU|DEF|GEN//nmod:poss//12 demokratiutredningar//NN|UTR|PLU|IND|NOM//obj//8 och//KN//cc//14 demokratiforskning//NN|UTR|SIN|IND|NOM//conj//12 ,//MID//punct//17 ett//DT|NEU|SIN|IND//det//17 annat//JJ|POS|NEU|SIN|IND|NOM//conj//12 att//IE//mark//19 stimulera//VB|INF|AKT//acl//17 det//DT|NEU|SIN|DEF//det//22 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//22 samtalet//NN|NEU|SIN|DEF|NOM//obj//19 om//PP//case//24 demokratin//NN|UTR|SIN|DEF|NOM//obl//19 .//MAD//punct//6
Förord;Av//PP//case//28 de//DT|UTR/NEU|PLU|DEF//det//28 skälen//NN|NEU|PLU|DEF|NOM//obl//33 har//VB|PRS|AKT//aux//33 redan//AB//advmod//33 åtskilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 demokratiforskare//NN|UTR|PLU|IND|NOM//nsubj//33 medverkat//VB|SUP|AKT//parataxis//6 på//PP//case//36 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//36 temaseminarier//NN|NEU|PLU|IND|NOM//obl//33 runtom//AB//obl//33 i//PP//case//39 landet//NN|NEU|SIN|DEF|NOM//obl//33 liksom//PP//mark//42 i//PP//case//42 flera//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//33 av//PP//case//46 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//46 debattorienterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//46 småskrifter//NN|UTR|PLU|IND|NOM//nmod//42 .//MAD//punct//6
Förord;Av//PP//case//50 de//DT|UTR/NEU|PLU|DEF//det//50 skälen//NN|NEU|PLU|DEF|NOM//obl//51 ges//VB|PRS|SFO//conj//6 också//AB//advmod//51 den//DT|UTR|SIN|DEF//det//55 här//AB//fixed//53 boken//NN|UTR|SIN|DEF|NOM//nsubj:pass//51 ut//AB//compound:prt//51 .//MAD//punct//6
