Uppdraget;Den//DT|UTR|SIN|DEF//det//2 29//RG|NOM//nummod//2 juni//NN|UTR|SIN|IND|NOM//obl//4 2017//RG|NOM//nummod//2 beslutade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 att//IE//mark//7 tillsätta//VB|INF|AKT//xcomp//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 göra//VB|INF|AKT//acl//12 en//DT|UTR|SIN|IND//det//16 översyn//NN|UTR|SIN|IND|NOM//obj//14 av//PP//case//18 lagen//NN|UTR|SIN|DEF|NOM//nmod//16 (//PAD//punct//20 1984:3//RG|NOM//conj//18 )//PAD//punct//20 om//PP//case//24 kärnteknisk//JJ|POS|UTR|SIN|IND|NOM//amod//24 verksamhet//NN|UTR|SIN|IND|NOM//obl//7 .//MAD//punct//4

Direktivet;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//4 ska//VB|PRS|AKT//aux//4 enligt//PP//case//3 direktiven//NN|NEU|PLU|DEF|NOM//obl//4 undersöka//VB|INF|AKT//ROOT//4 behovet//NN|NEU|SIN|DEF|NOM//obj//4 av//PP//case//7 ändringar//NN|UTR|PLU|IND|NOM//nmod//5 i//PP//case//9 lagen//NN|UTR|SIN|DEF|NOM//nmod//7 (//PAD//punct//11 1984:3//RG|NOM//nmod//5 )//PAD//punct//11 om//PP//case//15 kärnteknisk//JJ|POS|UTR|SIN|IND|NOM//amod//15 verksamhet//NN|UTR|SIN|IND|NOM//obl//4 (//PAD//punct//15 kärntekniklagen//NN|UTR|SIN|DEF|NOM//appos//15 )//PAD//punct//15 och//KN//cc//20 förordningen//NN|UTR|SIN|DEF|NOM//conj//15 (//PAD//punct//20 1984:14//RG|NOM//appos//20 )//PAD//punct//20 om//PP//case//26 kärnteknisk//JJ|POS|UTR|SIN|IND|NOM//amod//26 verksamhet//NN|UTR|SIN|IND|NOM//conj//15 och//KN//cc//29 vid//PP//case//29 behov//NN|NEU|SIN|IND|NOM//obl//31 även//AB//advmod//31 föreslå//VB|INF|AKT//acl:relcl//15 ändringar//NN|UTR|PLU|IND|NOM//obj//31 i//PP//case//34 strålskyddslagen//NN|UTR|SIN|DEF|NOM//nmod//32 och//KN//cc//37 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 följdändringar//NN|UTR|PLU|IND|NOM//conj//32 i//PP//case//39 miljöbalken//NN|UTR|SIN|DEF|NOM//nmod//37 och//KN//cc//41 finansieringslagstiftningen//NN|UTR|SIN|DEF|NOM//conj//39 .//MAD//punct//4
Direktivet;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//1 ska//VB|PRS|AKT//aux//4 bl.a.//AB|AN//advmod//4 –//PAD//punct//4 undersöka//VB|INF|AKT//ROOT//4 möjligheter//NN|UTR|PLU|IND|NOM//obj//4 och//KN//cc//7 fördelar//NN|UTR|PLU|IND|NOM//conj//5 med//PP//mark//10 att//IE//mark//10 samordna//VB|INF|AKT//advcl//4 ansvarsförhållandena//NN|NEU|PLU|DEF|NOM//obj//10 enligt//PP//case//13 kärntekniklagen//NN|UTR|SIN|DEF|NOM//obl//10 och//KN//cc//15 miljöbalken//NN|UTR|SIN|DEF|NOM//conj//13 ,//MID//punct//4 –//PAD//punct//18 analysera//VB|INF|AKT//parataxis//4 för-//NN|UTR|-|-|SMS//obj//18 och//KN//cc//21 nackdelar//NN|UTR|PLU|IND|NOM//conj//19 med//PP//mark//24 att//IE//mark//24 separera//VB|INF|AKT//advcl//18 ansvaret//NN|NEU|SIN|DEF|NOM//obj//24 för//PP//case//27 kärnsäkerhet//NN|UTR|SIN|IND|NOM//obl//24 och//KN//cc//29 strålskydd//NN|NEU|SIN|IND|NOM//conj//27 från//PP//case//33 det//DT|NEU|SIN|DEF//det//33 långsiktiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//33 ansvaret//NN|NEU|SIN|DEF|NOM//nmod//29 för//PP//case//35 avveckling//NN|UTR|SIN|IND|NOM//nmod//33 och//KN//cc//37 omhändertagande//NN|NEU|SIN|IND|NOM//conj//35 av//PP//case//39 avfall//NN|NEU|SIN|IND|NOM//nmod//37 ,//MID//punct//18 –//PAD//punct//42 analysera//VB|INF|AKT//conj//4 vad//HP|NEU|SIN|IND//dislocated//46 som//HP|-|-|-//nsubj:pass//46 bör//VB|PRS|AKT//aux//46 krävas//VB|INF|SFO//ccomp//42 vid//PP//case//50 ett//DT|NEU|SIN|IND//det//50 eventuellt//JJ|POS|NEU|SIN|IND|NOM//amod//50 byte//NN|NEU|SIN|IND|NOM//obl//46 av//PP//case//52 tillståndshavare//NN|UTR|PLU|IND|NOM//nmod//50 och//KN//cc//54 förutsättningar//NN|UTR|PLU|IND|NOM//conj//52 för//PP//case//56 ägarprövning//NN|UTR|SIN|IND|NOM//nmod//54 vid//PP//case//58 förändringar//NN|UTR|PLU|IND|NOM//nmod//56 i//PP//case//60 ägandet//NN|NEU|SIN|DEF|NOM//nmod//58 av//PP//case//62 reaktorbolag//NN|NEU|PLU|IND|NOM//nmod//60 ,//MID//punct//42 –//PAD//punct//65 se//VB|IMP|AKT//conj//4 över//PL//case//67 definitionen//NN|UTR|SIN|DEF|NOM//obl//65 av//PP//case//69 kärnavfall//NN|NEU|SIN|IND|NOM//nmod//67 och//KN//cc//72 radioaktivt//JJ|POS|NEU|SIN|IND|NOM//amod//72 avfall//NN|NEU|SIN|IND|NOM//conj//69 och//KN//cc//78 hur//HA//advmod//78 en//DT|UTR|SIN|IND//det//78 mer//AB|KOM//advmod//77 ändamålsenlig//JJ|POS|UTR|SIN|IND|NOM//amod//78 gränsdragning//NN|UTR|SIN|IND|NOM//nsubj:pass//85 mellan//PP//case//83 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//83 och//KN//cc//82 utländskt//JJ|POS|NEU|SIN|IND|NOM//conj//80 avfall//NN|NEU|SIN|IND|NOM//nmod//78 kan//VB|PRS|AKT//aux//85 utformas//VB|INF|SFO//advcl//4 ,//MID//punct//89 och//KN//cc//89 –//RG|NOM//punct//89 föreslå//VB|INF|AKT//conj//85 reglering//NN|UTR|SIN|IND|NOM//obj//89 av//PP//case//92 sistahandsansvaret//NN|NEU|SIN|DEF|NOM//nmod//90 efter//PP//case//94 förslutning//NN|UTR|SIN|IND|NOM//obl//89 av//PP//case//97 ett//DT|NEU|SIN|IND//det//97 slutförvar//NN|NEU|SIN|IND|NOM//nmod//94 .//MAD//punct//4
Direktivet;Förutom//PP//case//1 de//DT|UTR/NEU|PLU|DEF//det//5 i//PP//case//3 utredningsdirektiven//NN|NEU|PLU|DEF|NOM//nmod//5 angivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//5 frågorna//NN|UTR|PLU|DEF|NOM//obl//9 har//VB|PRS|AKT//aux//9 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//9 också//AB//advmod//9 identifierat//VB|SUP|AKT//ROOT//9 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 frågor//NN|UTR|PLU|IND|NOM//obj//9 som//HP|-|-|-//nsubj//14 har//VB|PRS|AKT//aux//14 bedömts//VB|SUP|SFO//acl:relcl//11 ligga//VB|INF|AKT//xcomp//14 inom//PP//case//18 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 uppdrag//NN|NEU|SIN|IND|NOM//obl//15 att//IE//mark//20 hantera//VB|INF|AKT//acl//18 .//MAD//punct//9
Direktivet;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//23 gäller//VB|PRS|AKT//conj//9 bl.a.//AB|AN//advmod//23 reglering//NN|UTR|SIN|IND|NOM//obj//23 i//PP//case//27 lag//NN|UTR|SIN|IND|NOM//nmod//25 av//PP//case//32 den//DT|UTR|SIN|DEF//det//32 s.k.//AB|AN//amod//32 stegvisa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 prövningen//NN|UTR|SIN|DEF|NOM//nmod//27 av//PP//case//35 kärnteknisk//JJ|POS|UTR|SIN|IND|NOM//amod//35 verksamhet//NN|UTR|SIN|IND|NOM//nmod//32 samt//KN//cc//38 en//DT|UTR|SIN|IND//det//38 översyn//NN|UTR|SIN|IND|NOM//conj//32 av//PP//case//40 regleringen//NN|UTR|SIN|DEF|NOM//nmod//38 av//PP//case//42 forsknings-//NN|UTR|-|-|SMS//nmod//40 och//KN//cc//44 utvecklingsverksamheten//NN|UTR|SIN|DEF|NOM//conj//42 i//PP//case//48 fråga//NN|UTR|SIN|IND|NOM//fixed//45 om//PP//fixed//45 omhändertagande//NN|NEU|SIN|IND|NOM//nmod//44 av//PP//case//50 kärnavfallet//NN|NEU|SIN|DEF|NOM//nmod//48 för//PP//case//52 innehavare//NN|UTR|PLU|IND|NOM//nmod//38 av//PP//case//54 kärnkraftsreaktorer//NN|UTR|PLU|IND|NOM//nmod//52 .//MAD//punct//9

Utredningens utgångspunkter;Utgångspunkten//NN|UTR|SIN|DEF|NOM//nsubj:pass//20 för//PP//case//2 utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//0 att//SN//mark//10 den//DT|UTR|SIN|DEF//det//7 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//7 kärnkraften//NN|UTR|SIN|DEF|NOM//nsubj//10 i//PP//advmod//10 dag//NN|UTR|SIN|IND|NOM//fixed//8 befinner//VB|PRS|AKT//csubj//0 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//10 i//PP//case//14 en//DT|UTR|SIN|IND//det//14 förvaltningsfas//NN|UTR|SIN|IND|NOM//obl//10 .//MID//punct//0
Utredningens utgångspunkter;Sex//RG|NOM//nmod//0 av//PP//case//19 tolv//RG|NOM//nummod//19 reaktorer//NN|UTR|PLU|IND|NOM//nmod//16 avses//VB|PRS|SFO//ROOT//20 drivas//VB|INF|SFO//xcomp//20 vidare//AB|KOM//advmod//21 men//KN//cc//26 inga//DT|UTR/NEU|PLU|IND//det//25 aktörer//NN|UTR|PLU|IND|NOM//nsubj//26 planerar//VB|PRS|AKT//conj//20 i//PP//advmod//26 dagsläget//NN|NEU|SIN|DEF|NOM//fixed//27 att//IE//mark//30 uppföra//VB|INF|AKT//xcomp//26 några//DT|UTR/NEU|PLU|IND//det//33 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 kärnkraftsreaktorer//NN|UTR|PLU|IND|NOM//obj//30 .//MID//punct//20
Utredningens utgångspunkter;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//36 finns//VB|PRS|SFO//parataxis//20 en//DT|UTR|SIN|IND//det//40 bred//JJ|POS|UTR|SIN|IND|NOM//amod//40 politisk//JJ|POS|UTR|SIN|IND|NOM//amod//40 energiuppgörelse//NN|UTR|SIN|IND|NOM//nsubj//36 med//PP//case//42 målsättningen//NN|UTR|SIN|DEF|NOM//nmod//40 att//SN//mark//50 all//DT|UTR|SIN|IND/DEF//det//45 elproduktion//NN|UTR|SIN|IND|NOM//nsubj//50 i//PP//case//47 Sverige//PM|NOM//nmod//45 ska//VB|PRS|AKT//aux//50 vara//VB|INF|AKT//cop//50 förnybar//JJ|POS|UTR|SIN|IND|NOM//acl//42 till//PP//case//52 2040//RG|NOM//obl//50 ,//MID//punct//55 utan//PP//case//55 stängning//NN|UTR|SIN|IND|NOM//obl//36 av//PP//case//57 kärnkraft//NN|UTR|SIN|IND|NOM//nmod//55 med//PP//case//60 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 beslut//NN|NEU|PLU|IND|NOM//nmod//57 .//MAD//punct//20
Utredningens utgångspunkter;Vidare//AB|KOM//advmod//1 har//VB|PRS|AKT//ROOT//1 processen//NN|UTR|SIN|DEF|NOM//nsubj//1 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 omhändertagandet//NN|NEU|SIN|DEF|NOM//obl//1 av//PP//case//6 det//DT|NEU|SIN|DEF//nmod//4 använda//PC|PRF|UTR/NEU|SIN|DEF|NOM//conj//1 kärnbränslet//NN|NEU|SIN|DEF|NOM//obj//7 kommit//VB|SUP|AKT//conj//1 i//PP//case//13 ett//DT|NEU|SIN|IND//det//13 skarpt//JJ|POS|NEU|SIN|IND|NOM//amod//13 läge//NN|NEU|SIN|IND|NOM//obl//9 där//HA//advmod//16 regeringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//16 väntas//VB|PRS|SFO//acl:relcl//13 ta//VB|INF|AKT//xcomp//16 ställning//NN|UTR|SIN|IND|NOM//obj//17 till//PP//case//21 kärnkraftindustrins//NN|UTR|SIN|DEF|GEN//nmod:poss//21 ansökan//NN|UTR|SIN|IND|NOM//obl//17 om//PP//mark//25 att//IE//mark//25 få//VB|INF|AKT//aux//25 uppföra//VB|INF|AKT//acl//21 ett//DT|NEU|SIN|IND//det//27 slutförvar//NN|NEU|SIN|IND|NOM//obj//25 för//PP//obl//16 använt//VB|SUP|AKT//conj//16 kärnbränsle//NN|NEU|SIN|IND|NOM//obj//29 i//PP//case//32 Forsmark//PM|NOM//nmod//30 i//PP//case//35 Östhammars//PM|GEN//nmod:poss//35 kommun//NN|UTR|SIN|IND|NOM//obl//29 ,//MID//punct//39 dels//KN//advmod//39 genom//PP//case//39 beslut//NN|NEU|SIN|IND|NOM//obl//29 om//PP//case//43 en//DT|UTR|SIN|IND//det//43 eventuell//JJ|POS|UTR|SIN|IND|NOM//amod//43 tillåtlighet//NN|UTR|SIN|IND|NOM//nmod//39 enligt//PP//case//45 Miljöbalken//PM|NOM//nmod//43 dels//KN//advmod//48 genom//PP//case//48 beslut//NN|NEU|SIN|IND|NOM//nmod//43 om//PP//case//51 eventuellt//JJ|POS|NEU|SIN|IND|NOM//advmod//51 tillstånd//NN|NEU|SIN|IND|NOM//nmod//48 enligt//PP//case//53 kärntekniklagen//NN|UTR|SIN|DEF|NOM//nmod//51 .//MAD//punct//1
