Statens Institut för Kommunikationsanalys;Analyser//NN|UTR|PLU|IND|NOM//ROOT//0 för//PP//case//2 Järnvägsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0

Förord;I//PP//case//6 samband//NN|NEU|SIN|IND|NOM//fixed//0 med//PP//case//6 den//DT|UTR|SIN|DEF//det//5 pågående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 Järnvägsutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 arbete//NN|NEU|SIN|IND|NOM//obl//9 har//VB|PRS|AKT//aux//9 SIKA//PM|NOM//nsubj//9 genomfört//VB|SUP|AKT//ROOT//9 ett//DT|NEU|SIN|IND//det//11 antal//NN|NEU|SIN|IND|NOM//nmod//12 analyser//NN|UTR|PLU|IND|NOM//obj//9 av//PP//case//14 järnvägstrafik//NN|UTR|SIN|IND|NOM//nmod//12 ,//MID//punct//16 inriktade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//9 på//PP//case//19 persontrafikens//NN|UTR|SIN|DEF|GEN//nmod:poss//19 lönsamhet//NN|UTR|SIN|IND|NOM//obl//16 .//MAD//punct//9
Förord;Vi//PN|UTR|PLU|DEF|SUB//nsubj//23 har//VB|PRS|AKT//aux//23 studerat//VB|SUP|AKT//parataxis//9 hur//HA//advmod//25 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 faktorer//NN|UTR|PLU|IND|NOM//nsubj//27 så//AB//advmod//23 som//KN//fixed//27 prissättning//NN|UTR|SIN|IND|NOM//nsubj//34 ,//MID//punct//31 kostnader//NN|UTR|PLU|IND|NOM//conj//29 och//KN//cc//33 turtäthet//NN|UTR|SIN|IND|NOM//conj//29 påverkar//VB|PRS|AKT//conj//23 möjligheten//NN|UTR|SIN|DEF|NOM//obj//34 att//IE//mark//37 driva//VB|INF|AKT//acl//35 kommersiellt//AB|POS//advmod//39 lönsam//JJ|POS|UTR|SIN|IND|NOM//amod//40 trafik//NN|UTR|SIN|IND|NOM//obj//37 på//PP//case//42 järnväg//NN|UTR|SIN|IND|NOM//obl//37 .//MID//punct//23
Förord;Initiativet//NN|NEU|SIN|DEF|NOM//nsubj:pass//47 till//PP//case//46 studien//NN|UTR|SIN|DEF|NOM//nmod//44 togs//VB|PRT|SFO//conj//23 i//PP//case//49 diskussion//NN|UTR|SIN|IND|NOM//obl//47 med//PP//case//51 Järnvägsutredningen//NN|UTR|SIN|DEF|NOM//obl//47 och//KN//cc//53 syftet//NN|NEU|SIN|DEF|NOM//conj//51 har//VB|PRS|AKT//aux//55 varit//VB|SUP|AKT//conj//9 att//SN//mark//60 analysresultaten//NN|NEU|PLU|DEF|NOM//nsubj//60 skulle//VB|PRT|AKT//aux//60 kunna//VB|INF|AKT//aux//60 tjäna//VB|INF|AKT//ccomp//55 som//KN//mark//62 underlag//NN|NEU|SIN|IND|NOM//xcomp//60 för//PP//case//65 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//65 arbete//NN|NEU|SIN|IND|NOM//nmod//62 .//MAD//punct//9
Förord;Studien//NN|UTR|SIN|DEF|NOM//nsubj:pass//69 har//VB|PRS|AKT//aux//69 utförts//VB|SUP|SFO//parataxis//9 i//PP//case//72 nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//72 samråd//NN|NEU|SIN|IND|NOM//obl//69 med//PP//case//75 Järnvägsutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//75 kansli//NN|NEU|SIN|IND|NOM//nmod//72 och//KN//cc//80 resultaten//NN|NEU|PLU|DEF|NOM//nsubj:pass//80 har//VB|PRS|AKT//aux//80 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//80 presenteras//VB|PRS|SFO//conj//69 vid//PP//case//83 Järnvägsutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//83 möten//NN|NEU|PLU|IND|NOM//obl//80 .//MAD//punct//69
Förord;Järnvägsutredningen//NN|UTR|SIN|DEF|NOM//nsubj//92 har//VB|PRS|AKT//aux//92 i//PP//case//88 arbetet//NN|NEU|SIN|DEF|NOM//obl//86 med//PP//case//90 studien//NN|UTR|SIN|DEF|NOM//nmod//88 även//AB//advmod//92 biståtts//NN|NEU|SIN|DEF|GEN//parataxis//69 av//PP//case//95 Hans//PM|NOM//nmod:poss//95 Hellström//PM|NOM//nmod//92 ,//MID//punct//97 ekonomichef//NN|UTR|SIN|IND|NOM//conj//92 vid//PP//case//99 affärsverket//NN|NEU|SIN|DEF|NOM//nmod//101 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//101 Järnvägar//NN|UTR|PLU|IND|NOM//nmod//97 .//MAD//punct//92
Förord;Resultaten//NN|NEU|PLU|DEF|NOM//nsubj:pass//5 som//HP|-|-|-//nsubj:pass//2 presenteras//VB|PRS|SFO//acl:relcl//0 i//PP//case//4 rapporten//NN|UTR|SIN|DEF|NOM//obl//2 baseras//VB|PRS|SFO//ROOT//5 huvudsakligen//AB//advmod//5 på//PP//case//8 modellberäkningar//NN|UTR|PLU|IND|NOM//obl//5 utförda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl//8 av//PP//case//11 SIKA//PM|NOM//obl:agent//9 .//MAD//punct//5
Förord;Underlag//NN|NEU|SIN|IND|NOM//parataxis//5 om//PP//mark//19 bl.a.//AB|AN//advmod//17 järnvägstrafikens//NN|UTR|SIN|DEF|GEN//nmod:poss//17 kostnader//NN|UTR|PLU|IND|NOM//nsubj:pass//19 har//VB|PRS|AKT//aux//19 tagits//VB|SUP|SFO//acl//13 fram//PL//advmod//19 av//PP//case//22 Järnvägsutredningen//NN|UTR|SIN|DEF|NOM//obl//19 och//KN//cc//24 SJ//PM|NOM//conj//22 har//VB|PRS|AKT//aux//26 tillhandahållit//VB|SUP|AKT//conj//5 underlag//NN|NEU|SIN|IND|NOM//obj//26 för//PP//case//29 avstämning//NN|UTR|SIN|IND|NOM//nmod//27 av//PP//case//31 modellresultaten//NN|UTR|SIN|DEF|NOM//nmod//29 mot//PP//case//35 verkliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 företagsekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 resultat//NN|NEU|PLU|IND|NOM//nmod//31 .//MAD//punct//5
Förord;Deltagande//NN|NEU|SIN|IND|NOM//nsubj//5 från//PP//case//2 SIKA//PM|NOM//nmod//0 har//VB|PRS|AKT//aux//5 varit//VB|SUP|AKT//cop//5 projektledare//NN|UTR|SIN|IND|NOM//ROOT//5 Sylvia//PM|NOM//nsubj//5 Yngström//PM|NOM//flat//6 Wänn//PM|NOM//flat//6 ,//MID//punct//10 Peter//PM|NOM//conj//6 Roming//PM|NOM//flat//10 ,//MID//punct//13 Helena//PM|NOM//conj//6 Braun//PM|NOM//flat//13 ,//MID//punct//13 Roger//PM|NOM//conj//5 Pyddoke//PM|NOM//flat:name//16 och//KN//cc//20 Anders//PM|NOM//nmod//20 Wärmark//PM|NOM//conj//17 .//MAD//punct//5
Förord;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//24 har//VB|PRS|AKT//aux//24 utförts//VB|SUP|SFO//parataxis//5 med//PP//case//26 stöd//NN|NEU|SIN|IND|NOM//obl//24 av//PP//case//30 en//DT|UTR|SIN|IND//det//29 intern//JJ|POS|UTR|SIN|IND|NOM//nmod:poss//30 styrgrupp//NN|UTR|SIN|IND|NOM//nmod//26 bestående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//24 av//PP//case//33 Staffan//PM|NOM//obl//31 Widlert//PM|NOM//flat//33 ,//MID//punct//33 Marie//PM|NOM//appos//33 Heiborn//PM|NOM//flat//36 och//KN//cc//39 Göran//PM|NOM//conj//36 Friberg//PM|NOM//flat:name//39 .//MAD//punct//5
