Sammanfattning;enkel//JJ|POS|UTR|SIN|IND|NOM//amod//1 difference-in-difference-metod//NN|UTR|SIN|IND|NOM//ROOT//1 .//MAD//punct//1
Sammanfattning;Resultaten//NN|NEU|PLU|DEF|NOM//nsubj//7 av//PP//case//6 denna//DT|UTR|SIN|DEF//det//6 övning//NN|UTR|SIN|IND|NOM//nmod//3 motsäger//VB|PRS|AKT//parataxis//1 inte//AB//advmod//7 idén//NN|UTR|SIN|DEF|NOM//obj//7 att//SN//mark//18 skattesänkningar//NN|UTR|PLU|IND|NOM//nsubj//18 som//HP|-|-|-//nsubj:pass//13 riktas//VB|PRS|SFO//acl:relcl//11 mot//PP//case//15 äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//13 har//VB|PRS|AKT//aux//18 varit//VB|SUP|AKT//cop//18 effektiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ccomp//7 .//MAD//punct//7
Sammanfattning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//21 krävs//VB|PRS|SFO//parataxis//7 emellertid//AB//advmod//21 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 forskning//NN|UTR|SIN|IND|NOM//nsubj:pass//21 på//PP//case//27 detta//DT|NEU|SIN|DEF//det//27 område//NN|NEU|SIN|IND|NOM//obl//21 .//MAD//punct//21
Sammanfattning;Slutligen//AB//advmod//31 är//VB|PRS|AKT//cop//31 skattesänkningar//NN|UTR|PLU|IND|NOM//conj//7 för//PP//case//34 hushållsnära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 tjänster//NN|UTR|PLU|IND|NOM//nmod//31 sannolikt//AB|POS//advmod//37 en//DT|UTR|SIN|IND//det//37 fråga//NN|UTR|SIN|IND|NOM//conj//31 av//PP//case//40 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//40 vikt//NN|UTR|SIN|IND|NOM//nmod//37 ,//MID//punct//31 men//KN//cc//46 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//46 kan//VB|PRS|AKT//aux//46 eventuellt//AB|POS//advmod//46 leda//VB|INF|AKT//conj//31 till//PP//case//49 en//DT|UTR|SIN|IND//det//49 ökning//NN|UTR|SIN|IND|NOM//obl//46 av//PP//case//52 reguljära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 anställningar//NN|UTR|PLU|IND|NOM//nmod//49 .//MAD//punct//7

Referenser;Eklind//PM|NOM//discourse//28 ,//MID//punct//0 B.//PM|NOM//conj//0 ,//MID//punct//4 Hultin//PM|NOM//conj//0 ,//MID//punct//4 M.//PM|NOM//conj//0 ,//MID//punct//8 Kashefi//PM|NOM//conj//0 ,//MID//punct//10 B.//PM|NOM//conj//0 ,//MID//punct//12 Lindholm//PM|NOM//conj//0 ,//MID//punct//14 L.-E.//PM|NOM//conj//0 ,//MID//punct//16 Löfbom//PM|NOM//conj//0 ,//MID//punct//18 E.//PM|NOM//conj//0 och//KN//cc//20 Nyman//PM|NOM//conj//0 ,//MID//punct//0 K.//PM|NOM//conj//0 (//PAD//punct//22 2004//RG|NOM//nummod//22 )//PAD//punct//22 ,//MID//punct//0 Vem//HP|UTR|SIN|IND//nsubj//28 tjänar//VB|PRS|AKT//ROOT//28 på//PP//mark//31 att//IE//mark//31 arbeta//VB|INF|AKT//xcomp//28 ?//MID//punct//28 ,//MID//punct//28
Referenser;bilaga//NN|UTR|SIN|IND|NOM//nmod//35 14//RG|NOM//appos//28 till//PP//case//35
Referenser;Långtidsutredningen//NN|UTR|SIN|DEF|NOM//ROOT//0 2003/04//RG|NOM//nummod//0 ,//MID//punct//0 SOU//PM|NOM//nmod//4 2004:2//RG|NOM//appos//0 .//MAD//punct//0
Referenser;111/2//RG|NOM//nmod//0 ,//MID//punct//9 s.//NN|AN//nmod//9 605–37//RG|NOM//conj//6 .//MAD//punct//0
Referenser;Finanspolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 rådet//NN|NEU|SIN|DEF|NOM//ROOT//1 (//PAD//punct//1 2008//RG|NOM//nummod//1 )//PAD//punct//1 ,//MID//punct//7 Svensk//JJ|POS|UTR|SIN|IND|NOM//amod//7 finanspolitik//NN|UTR|SIN|IND|NOM//conj//1 ,//MID//punct//7 www.finanspolitiskaradet.se//UO//punct//1 ,//MID//punct//11 Stockholm//PM|NOM//conj//1 .//MAD//punct//1
Referenser;Flood//PM|NOM//ROOT//0 ,//MID//punct//0 L.R.//PM|NOM//conj//0 ,//MID//punct//0 (//PAD//punct//0 2010//RG|NOM//nummod//0 )//PAD//punct//0 ,//MID//punct//9 En//DT|UTR|SIN|IND//det//9 skattepolitik//NN|UTR|SIN|IND|NOM//conj//0 för//PP//case//12 både//KN//cc//12 innan-//NN|UTR|-|-|SMS//nmod//9 och//KN//cc//14 utanförskapet//NN|NEU|SIN|DEF|NOM//conj//12 .//MAD//punct//0
