Enhetliga priser på receptbelagda läkemedel;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//0
Enhetliga priser på receptbelagda läkemedel;Nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 apoteksmarknadsutredningen//NN|UTR|SIN|DEF|NOM//ROOT//1
Enhetliga priser på receptbelagda läkemedel;Stockholm//PM|NOM//ROOT//0 2017//RG|NOM//nummod//0

Till statsrådet Annika Strandhäll;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 19//RG|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obj//1 2015//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 för//PP//mark//13 att//IE//mark//13 göra//VB|INF|AKT//advcl//7 en//DT|UTR|SIN|IND//det//15 översyn//NN|UTR|SIN|IND|NOM//obj//13 av//PP//case//17 apoteksmarknaden//NN|UTR|SIN|DEF|NOM//nmod//15 och//KN//cc//20 vid//PP//case//20 behov//NN|NEU|SIN|IND|NOM//conj//17 lämna//VB|INF|AKT//conj//1 förslag//NN|NEU|SIN|IND|NOM//obj//21 på//PP//case//24 förändringar//NN|UTR|PLU|IND|NOM//nmod//22 .//MAD//punct//1
Till statsrådet Annika Strandhäll;Vid//PP//case//2 tre//RG|NOM//nummod//2 tillfällen//NN|NEU|PLU|IND|NOM//obl//29 ,//MID//punct//6 den//DT|UTR|SIN|DEF//det//6 8//RO|NOM//nummod//6 december//NN|UTR|SIN|IND|NOM//nmod//2 2016//RG|NOM//nummod//6 ,//MID//punct//6 den//DT|UTR|SIN|DEF//det//11 11//RG|NOM//nummod//11 maj//NN|UTR|SIN|IND|NOM//obl//20 2017//RG|NOM//nummod//11 och//KN//cc//11 den//DT|UTR|SIN|DEF//det//16 24//RG|NOM//nummod//16 augusti//NN|UTR|SIN|IND|NOM//nmod//17 2017//RG|NOM//nummod//11 har//VB|PRS|AKT//aux//20 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//20 beslutat//VB|SUP|AKT//acl:relcl//2 om//PP//case//22 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//20 till//PP//case//24 utredningen//NN|UTR|SIN|DEF|NOM//obl//20 .//MAD//punct//2
Till statsrådet Annika Strandhäll;Uppdragets//NN|NEU|SIN|DEF|GEN//nmod:poss//28 första//RO|NOM//amod//28 del//NN|UTR|SIN|IND|NOM//obl//29 redovisades//VB|PRT|SFO//ROOT//29 den//DT|UTR|SIN|DEF//det//32 9//RO|NOM//nummod//32 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//29 2017//RG|NOM//nummod//32 .//MAD//punct//29
Till statsrådet Annika Strandhäll;Som//KN//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//nsubj:pass//3 förordnades//VB|PRT|SFO//ROOT//3 f.d.//JJ|AN//amod//5 landstingsrådet//NN|NEU|SIN|DEF|NOM//nmod//6 Åsa//PM|NOM//dep//3 Kullgren//PM|NOM//flat:name//6 fr.o.m.//AB|AN//case//11 den//DT|UTR|SIN|DEF//det//11 1//RO|NOM//nummod//11 december//NN|UTR|SIN|IND|NOM//obl//3 2015//RG|NOM//nummod//11 .//MAD//punct//3
Till statsrådet Annika Strandhäll;Åsa//PM|NOM//nsubj:pass//16 Kullgren//PM|NOM//nsubj:pass//16 entledigades//VB|PRT|SFO//parataxis//3 från//PP//case//18 uppdraget//NN|NEU|SIN|DEF|NOM//obl//16 fr.o.m.//AB|AN//case//22 den//DT|UTR|SIN|DEF//det//22 28//RG|NOM//nummod//22 februari//NN|UTR|SIN|IND|NOM//obl//16 2017//RG|NOM//nummod//22 och//KN//cc//28 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//26 AnnaLena//PM|NOM//nmod//27 Sörenson//PM|NOM//nsubj:pass//28 utsågs//VB|PRT|SFO//conj//16 till//PP//case//31 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//31 utredare//NN|UTR|SIN|IND|NOM//obl//28 fr.o.m.//AB|AN//case//36 den//DT|UTR|SIN|DEF//det//35 1//RO|NOM//nummod//35 mars//NN|UTR|SIN|IND|NOM//nmod//36 2017//RG|NOM//obl//28 .//MAD//punct//3
Till statsrådet Annika Strandhäll;Som//KN//case//1 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//6 den//DT|UTR|SIN|DEF//det//6 3//RO|NOM//nummod//6 mars//NN|UTR|SIN|IND|NOM//nmod//9 2016//RG|NOM//nummod//6 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//9 Stefan//PM|NOM//obl//2 Karlsson//PM|NOM//flat:name//9 ,//MID//punct//12 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//9 ,//MID//punct//9 och//KN//cc//23 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//16 Eva//PM|NOM//nsubj:pass//23 Sörell//PM|NOM//flat:name//16 ,//MID//punct//19 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//conj//16 .//MID//punct//19
Till statsrådet Annika Strandhäll;Eva//PM|NOM//nsubj:pass//23 Sörell//PM|NOM//flat//21 entledigades//VB|PRT|SFO//conj//9 fr.o.m.//AB|AN//case//27 den//DT|UTR|SIN|DEF//det//27 20//RG|NOM//nummod//27 april//NN|UTR|SIN|IND|NOM//obl//23 2017//RG|NOM//nummod//27 och//KN//cc//33 från//PP//case//32 samma//DT|UTR/NEU|SIN/PLU|IND//det//32 datum//NN|NEU|SIN|IND|NOM//obl//33 förordnades//VB|PRT|SFO//conj//2 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//35 Daniel//PM|NOM//xcomp//33 Olai//PM|NOM//flat//35 ,//MID//punct//38 Finansdepartementet//NN|NEU|SIN|DEF|NOM//appos//33 ,//MID//punct//38 som//KN//case//41 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//appos//38 .//MAD//punct//2
