Utredningens samtliga förslag;I//PP//case//2 det//DT|NEU|SIN|DEF//det//2 följande//NN|NEU|SIN|IND|NOM//obl//3 finns//VB|PRS|SFO//ROOT//3 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//5 förslag//NN|NEU|PLU|IND|NOM//nsubj//3 från//PP//case//8 respektive//AB//amod//8 kapitel//NN|NEU|SIN|IND|NOM//nmod//5 redovisade//VB|PRT|AKT//advcl//3 .//MAD//punct//3

Förslag från kapitel 3;Djurtransporter//NN|UTR|PLU|IND|NOM//nsubj:pass//4 måste//VB|PRS|AKT//aux//4 ur//PP//case//3 smittskyddssynpunkt//NN|UTR|SIN|IND|NOM//obl//4 begränsas//VB|INF|SFO//ROOT//4 till//PP//case//7 ett//DT|NEU|SIN|IND//det//7 minimum//NN|NEU|SIN|IND|NOM//obl//4 och//KN//cc//9 marknader//NN|UTR|PLU|IND|NOM//conj//7 där//HA//advmod//16 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 djur//NN|NEU|PLU|IND|NOM//nsubj:pass//16 från//PP//case//15 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 produktionsplatser//NN|UTR|PLU|IND|NOM//nmod//12 sammanförs//VB|PRS|SFO//acl:relcl//9 bör//VB|PRS|AKT//aux//20 ur//PP//case//19 smittskyddssynpunkt//NN|UTR|SIN|IND|NOM//obl//20 upphöra//VB|INF|AKT//conj//16 .//MAD//punct//4
Förslag från kapitel 3;För//PP//case//1 införsel//NN|UTR|SIN|IND|NOM//obl//7 av//PP//case//3 hundar//NN|UTR|PLU|IND|NOM//nmod//1 till//PP//case//5 Sverige//PM|NOM//nmod//3 bör//VB|PRS|AKT//aux//7 utökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//7 krav//NN|NEU|PLU|IND|NOM//obj//7 på//PP//case//10 blodanalys//NN|UTR|SIN|IND|NOM//nmod//8 för//PP//case//13 alla//DT|UTR/NEU|PLU|IND/DEF//det//13 hundar//NN|UTR|PLU|IND|NOM//nmod//10 som//HP|-|-|-//nsubj//16 är//VB|PRS|AKT//cop//16 födda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//13 i//PP//obl//16 ,//MID//punct//19 uppväxta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//16 i//PP//advmod//16 och//KN//cc//22 förs//VB|PRS|SFO//conj//16 in//PL//compound:prt//22 från//PP//case//25 Grekland//PM|NOM//obl//22 ,//MID//punct//27 Italien//PM|NOM//conj//25 ,//MID//punct//29 Frankrike//PM|NOM//conj//25 ,//MID//punct//31 Spanien//PM|NOM//conj//25 och//KN//cc//33 Portugal//PM|NOM//conj//25 ,//MID//punct//35 införas//VB|INF|SFO//conj//7 för//PP//mark//39 att//IE//mark//39 kunna//VB|INF|AKT//aux//39 säkerställa//VB|INF|AKT//advcl//35 frihet//NN|UTR|SIN|IND|NOM//obj//39 från//PP//case//42 hjärtmask//NN|UTR|SIN|IND|NOM//nmod//40 ,//MID//punct//44 leishmanios//NN|NEU|SIN|IND|NOM//conj//42 ,//MID//punct//47 tropisk//JJ|POS|UTR|SIN|IND|NOM//amod//47 ehrlichios//NN|UTR|SIN|IND|NOM//conj//42 ,//MID//punct//49 brucellos//NN|UTR|SIN|IND|NOM//conj//42 och//KN//cc//51 babeos//NN|UTR|SIN|IND|NOM//conj//42 innan//SN//case//53 införsel//NN|UTR|SIN|IND|NOM//obl//39 .//MAD//punct//7
Förslag från kapitel 3;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 bör//VB|PRS|AKT//aux//2 ställas//VB|INF|SFO//ROOT//2 krav//NN|NEU|PLU|IND|NOM//nsubj:pass//2 på//PP//mark//9 att//SN//mark//9 alla//DT|UTR/NEU|PLU|IND/DEF//det//7 hundar//NN|UTR|PLU|IND|NOM//nsubj//9 är//VB|PRS|AKT//cop//9 fästingsanerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//2 omedelbart//AB|POS//advmod//9 innan//SN//mark//13 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//13 förs//VB|PRS|SFO//advcl//9 in//PL//compound:prt//13 från//PP//case//18 ovan//AB//advmod//17 nämnda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//18 länder//NN|NEU|PLU|IND|NOM//obl//13 .//MAD//punct//2

Förslag från kapitel 4;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 finns//VB|PRS|SFO//ROOT//1 en//DT|UTR|SIN|IND//det//4 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 dokumentation//NN|UTR|SIN|IND|NOM//nsubj//1 av//PP//case//4 och//KN//cc//8 starka//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 argument//NN|NEU|PLU|IND|NOM//conj//4 för//PP//mark//13 att//SN//mark//13 djurtransportdirektivet//NN|NEU|SIN|DEF|NOM//nsubj//13 inte//AB//advmod//13 tillvaratar//VB|PRS|AKT//advcl//1 djurens//NN|NEU|PLU|DEF|GEN//nmod:poss//15 välfärd//NN|UTR|SIN|IND|NOM//obj//13 i//PP//case//19 tillräckligt//AB|POS//advmod//18 hög//JJ|POS|UTR|SIN|IND|NOM//amod//19 utsträckning//NN|UTR|SIN|IND|NOM//obl//13 .//MAD//punct//1
Förslag från kapitel 4;I//PP//case//23 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 fall//NN|NEU|PLU|IND|NOM//obl//24 tas//VB|PRS|SFO//parataxis//1 inte//AB//advmod//24 tillräckligt//AB|POS//advmod//27 stor//JJ|POS|UTR|SIN|IND|NOM//amod//28 hänsyn//NN|UTR|SIN|IND|NOM//nsubj:pass//24 till//PP//case//34 varje//DT|UTR/NEU|SIN|IND//det//31 djurslags//NN|UTR|SIN|IND|GEN//nmod:poss//34 specifika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 biologiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 karakteristika//NN|NEU|PLU|IND|NOM//obl//24 eller//KN//cc//39 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 djurs//NN|NEU|PLU|IND|GEN//nmod:poss//39 speciella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 förutsättningar//NN|UTR|PLU|IND|NOM//conj//34 att//IE//mark//41 klara//VB|INF|AKT//acl//39 transporten//NN|UTR|SIN|DEF|NOM//obj//41 på//PP//case//46 ett//DT|NEU|SIN|IND//det//46 acceptabelt//JJ|POS|NEU|SIN|IND|NOM//amod//46 sätt//NN|NEU|SIN|IND|NOM//obl//41 .//MAD//punct//24
Förslag från kapitel 4;I//PP//case//50 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 fall//NN|NEU|PLU|IND|NOM//obl//53 är//VB|PRS|AKT//cop//53 föreskrifterna//NN|UTR|PLU|DEF|NOM//nsubj//53 otydliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//1 och//KN//cc//57 en//DT|UTR|SIN|IND//det//57 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//57 precisering//NN|UTR|SIN|IND|NOM//conj//53 bör//VB|PRS|AKT//aux//59 eftersträvas//VB|INF|SFO//conj//1 .//MAD//punct//1
Förslag från kapitel 4;Djurtransportdirektivet//NN|NEU|SIN|DEF|NOM//nsubj:pass//2 bör//VB|PRS|AKT//aux//2 ändras//VB|INF|SFO//ROOT//2 i//PP//case//5 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 avseenden//NN|NEU|PLU|IND|NOM//obl//2 ://MAD//punct//2
Förslag från kapitel 4;Generella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 principer//NN|UTR|PLU|IND|NOM//ROOT//1
