11 Regleringar och regleringsmyndigheter ;Branscher//NN|UTR|PLU|IND|NOM//nsubj//5 och//KN//cc//3 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 företag//NN|NEU|PLU|IND|NOM//conj//0 är//VB|PRS|AKT//cop//5 föremål//NN|NEU|PLU|IND|NOM//ROOT//5 för//PP//case//10 en//DT|UTR|SIN|IND//det//8 mängd//NN|UTR|SIN|IND|NOM//nmod//10 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 regleringar//NN|UTR|PLU|IND|NOM//nmod//5 .//MAD//punct//5
11 Regleringar och regleringsmyndigheter ;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//16 kan//VB|PRS|AKT//aux//16 t.ex.//AB|AN//advmod//16 vara//VB|INF|AKT//cop//16 regleringar//NN|UTR|PLU|IND|NOM//parataxis//5 som//HP|-|-|-//nsubj//18 gäller//VB|PRS|AKT//acl:relcl//16 säkerhet//NN|UTR|SIN|IND|NOM//obj//18 ,//MID//punct//21 arbetarskydd//NN|NEU|SIN|IND|NOM//conj//19 eller//KN//cc//23 miljö//NN|UTR|SIN|IND|NOM//conj//19 .//MID//punct//16
11 Regleringar och regleringsmyndigheter ;En//DT|UTR|SIN|IND//det//27 speciell//JJ|POS|UTR|SIN|IND|NOM//amod//27 typ//NN|UTR|SIN|IND|NOM//nsubj//30 av//PP//case//29 reglering//NN|UTR|SIN|IND|NOM//nmod//27 gäller//VB|PRS|AKT//parataxis//16 branschens//NN|UTR|SIN|DEF|GEN//nmod:poss//34 eller//KN//cc//33 företagets//NN|NEU|SIN|DEF|GEN//conj//31 prissättning//NN|UTR|SIN|IND|NOM//obj//30 och//KN//cc//38 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 kommersiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 relationer//NN|UTR|PLU|IND|NOM//conj//34 till//PP//case//40 kunderna//NN|UTR|PLU|DEF|NOM//nmod//38 .//MAD//punct//30
11 Regleringar och regleringsmyndigheter ;Som//HP|-|-|-//mark//43 framgått//VB|SUP|AKT//advcl//30 av//PP//case//46 kapitel//NN|NEU|SIN|IND|NOM//nmod//46 3//RG|NOM//obl//43 är//VB|PRS|AKT//cop//50 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//50 oftast//AB|SUV//advmod//50 frånvaron//NN|UTR|SIN|DEF|NOM//conj//16 av//PP//case//52 konkurrens//NN|UTR|SIN|IND|NOM//nmod//50 som//HP|-|-|-//nsubj//54 motiverar//VB|PRS|AKT//acl:cleft//50 denna//DT|UTR|SIN|DEF//det//56 typ//NN|UTR|SIN|IND|NOM//obj//54 av//PP//case//58 reglering//NN|UTR|SIN|IND|NOM//nmod//56 .//MAD//punct//16
11 Regleringar och regleringsmyndigheter ;En//DT|UTR|SIN|IND//det//62 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//62 reglering//NN|UTR|SIN|IND|NOM//nsubj//66 kan//VB|PRS|AKT//aux//66 emellertid//AB//advmod//66 vara//VB|INF|AKT//cop//66 utformad//PC|PRF|UTR|SIN|IND|NOM//conj//16 på//PP//case//69 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 sätt//NN|NEU|PLU|IND|NOM//obl//66 ,//MID//punct//16 och//KN//cc//74 regleringens//NN|UTR|SIN|DEF|GEN//nmod:poss//73 utformning//NN|UTR|SIN|IND|NOM//nsubj//74 har//VB|PRS|AKT//conj//16 i//PP//advmod//77 allmänhet//NN|UTR|SIN|IND|NOM//fixed//75 betydelse//NN|UTR|SIN|IND|NOM//obj//74 för//PP//case//79 utvecklingen//NN|UTR|SIN|DEF|NOM//obl//74 av//PP//case//81 priser//NN|NEU|PLU|IND|NOM//nmod//79 ,//MID//punct//83 investeringar//NN|UTR|PLU|IND|NOM//conj//81 och//KN//cc//85 produktivitet//NN|UTR|SIN|IND|NOM//conj//81 i//PP//case//89 den//DT|UTR|SIN|DEF//det//89 reglerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//89 branschen//NN|UTR|SIN|DEF|NOM//nmod//85 eller//KN//cc//93 det//DT|NEU|SIN|DEF//det//93 reglerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//93 företaget//NN|NEU|SIN|DEF|NOM//conj//89 .//MAD//punct//16
11 Regleringar och regleringsmyndigheter ;Ett//DT|NEU|SIN|IND//det//97 viktigt//JJ|POS|NEU|SIN|IND|NOM//amod//97 förhållande//NN|NEU|SIN|IND|NOM//nsubj//100 är//VB|PRS|AKT//cop//100 även//AB//advmod//100 utformningen//NN|UTR|SIN|DEF|NOM//conj//16 av//PP//case//104 den//DT|UTR|SIN|DEF//det//104 reglerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//104 myndigheten//NN|UTR|SIN|DEF|NOM//nmod//100 och//KN//cc//109 vilka//HD|UTR/NEU|PLU|IND//det//107 befogenheter//NN|UTR|PLU|IND|NOM//obj//109 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//109 har//VB|PRS|AKT//conj//100 ,//MID//punct//109 dvs.//AB|AN//advmod//114 den//DT|UTR|SIN|DEF//det//114 institutionella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//114 designen//NN|UTR|SIN|DEF|NOM//appos//109 .//MAD//punct//5
11 Regleringar och regleringsmyndigheter ;I//PP//case//2 avsnitt//NN|NEU|SIN|IND|NOM//nmod//2 11.1//RG|NOM//obl//3 ges//VB|PRS|SFO//ROOT//3 en//DT|UTR|SIN|IND//det//6 kort//JJ|POS|UTR|SIN|IND|NOM//amod//6 inledning//NN|UTR|SIN|IND|NOM//nsubj:pass//3 till//PP//mark//11 varför//HA//advmod//11 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//11 kan//VB|PRS|AKT//aux//11 finnas//VB|INF|SFO//advcl//3 ett//DT|NEU|SIN|IND//det//13 behov//NN|NEU|SIN|IND|NOM//obj//11 av//PP//case//15 regleringar//NN|UTR|PLU|IND|NOM//nmod//13 och//KN//cc//18 där//AB//advmod//18 diskuteras//VB|PRS|SFO//conj//3 även//AB//advmod//20 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 begrepp//NN|NEU|PLU|IND|NOM//nsubj:pass//18 .//MAD//punct//18
11 Regleringar och regleringsmyndigheter ;Avsnitt//NN|NEU|SIN|IND|NOM//nmod//24 11.2//RG|NOM//nsubj//25 innehåller//VB|PRS|AKT//conj//3 en//DT|UTR|SIN|IND//det//27 diskussion//NN|UTR|SIN|IND|NOM//obj//25 om//PP//case//30 regleringars//NN|UTR|PLU|IND|GEN//nmod:poss//30 inriktning//NN|UTR|SIN|IND|NOM//nmod//27 och//KN//cc//32 form//NN|UTR|SIN|IND|NOM//conj//30 .//MAD//punct//25
11 Regleringar och regleringsmyndigheter ;I//PP//case//36 avsnitt//NN|NEU|SIN|IND|NOM//nmod//36 11.3//RG|NOM//obl//37 analyseras//VB|PRS|SFO//parataxis//25 varför//HA//advmod//41 regleringar//NN|UTR|PLU|IND|NOM//nsubj//41 ibland//AB//advmod//41 misslyckas//VB|PRS|SFO//ccomp//37 ,//MID//punct//37 dvs.//AB|AN//advmod//44 regleringsmisslyckanden//NN|UTR|SIN|DEF|NOM//appos//37 .//MAD//punct//37
11 Regleringar och regleringsmyndigheter ;I//PP//case//49 samband//NN|NEU|SIN|IND|NOM//fixed//46 med//PP//fixed//46 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//50 diskuteras//VB|PRS|SFO//parataxis//37 också//AB//advmod//50 begreppet//NN|NEU|SIN|DEF|NOM//nmod//54 politisk//JJ|POS|UTR|SIN|IND|NOM//amod//54 ekonomi//NN|UTR|SIN|IND|NOM//nsubj:pass//50 och//KN//cc//57 regleringars//NN|UTR|PLU|IND|GEN//nmod:poss//57 kostnader//NN|UTR|PLU|IND|NOM//conj//54 .//MAD//punct//37
11 Regleringar och regleringsmyndigheter ;Avsnitt//NN|NEU|SIN|IND|NOM//nmod//60 11.4//RG|NOM//nsubj//61 diskuterar//VB|PRS|AKT//parataxis//37 ramen//NN|UTR|SIN|DEF|NOM//compound:prt//61 kring//PP//case//64 regleringar//NN|UTR|PLU|IND|NOM//obl//61 och//KN//cc//69 hur//HA//advmod//69 regleringsmisslyckanden//NN|UTR|SIN|DEF|NOM//nsubj:pass//69 kan//VB|PRS|AKT//aux//69 undvikas//VB|INF|SFO//conj//61 eller//KN//cc//71 minskas//VB|INF|SFO//conj//69 .//MAD//punct//61
