Kommitténs förslag:;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//1 anser//VB|PRS|AKT//ROOT//1 att//SN//mark//5 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//5 är//VB|PRS|AKT//cop//5 viktigt//JJ|POS|NEU|SIN|IND|NOM//ccomp//1 att//SN//mark//20 frivilligorganisationer//NN|UTR|PLU|IND|NOM//nsubj//20 som//HP|-|-|-//nsubj//9 arbetar//VB|PRS|AKT//acl:relcl//7 med//PP//case//11 hemlösa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//9 och//KN//cc//13 frågor//NN|UTR|PLU|IND|NOM//conj//11 om//PP//case//15 hemlöshet//NN|UTR|SIN|IND|NOM//nmod//13 ,//MID//punct//7 årligen//AB//advmod//20 skall//VB|PRS|AKT//aux//20 kunna//VB|INF|AKT//aux//20 erhålla//VB|INF|AKT//csubj//5 medel//NN|NEU|PLU|IND|NOM//obj//20 för//PP//case//23 underlätta//VB|INF|AKT//obl//20 och//KN//cc//25 främja//VB|INF|AKT//conj//20 ett//DT|NEU|SIN|IND//det//28 aktivt//JJ|POS|NEU|SIN|IND|NOM//amod//28 utvecklings-//NN|UTR|-|-|SMS//obj//25 och//KN//cc//30 metodarbete//NN|NEU|SIN|IND|NOM//conj//28 inom//PP//case//32 området//NN|NEU|SIN|DEF|NOM//obl//25 .//MAD//punct//5
Kommitténs förslag:;Medel//NN|NEU|PLU|IND|NOM//nsubj:pass//38 för//PP//case//37 detta//DT|NEU|SIN|DEF//det//37 ändamål//NN|NEU|SIN|IND|NOM//nmod//34 beviljas//VB|PRS|SFO//parataxis//5 av//PP//case//40 Socialstyrelsen//NN|UTR|SIN|DEF|NOM//obl:agent//38 och//KN//cc//42 förutsätter//VB|PRS|AKT//conj//38 ett//DT|NEU|SIN|IND//det//44 ansökningsförfarande//NN|NEU|SIN|IND|NOM//obj//42 från//PP//case//47 respektive//AB//amod//47 organisation//NN|UTR|SIN|IND|NOM//nmod//44 .//MAD//punct//1

13.1 Frivilligt socialt arbete;I//PP//case//2 Socialtjänstkommitténs//PM|GEN//nmod:poss//2 rapport//NN|UTR|SIN|IND|NOM//obl//3 Frivilligt//JJ|POS|NEU|SIN|IND|NOM//amod//5 socialt//JJ|POS|NEU|SIN|IND|NOM//amod//5 arbete//NN|NEU|SIN|IND|NOM//obl//11  //_SP////5 (//PAD//punct//5 SOU//PM|NOM//appos//5 1993:82//RG|NOM//conj//5 )//PAD//punct//5 utgår//VB|PRS|AKT//ROOT//11 man//PN|UTR|SIN|IND|SUB//nsubj//11 från//PP//case//17 en//DT|UTR|SIN|IND//det//17 ganska//NN|UTR|SIN|IND|NOM//advmod//16 vid//PP//case//17 tolkning//NN|UTR|SIN|IND|NOM//obl//11 när//HA//mark//20 man//PN|UTR|SIN|IND|SUB//nsubj//20 diskuterar//VB|PRS|AKT//advcl//11 begreppet//NN|NEU|SIN|DEF|NOM//nmod//23 frivillig//JJ|POS|UTR|SIN|IND|NOM//amod//23 organisation//NN|UTR|SIN|IND|NOM//obj//20 .//MAD//punct//11
13.1 Frivilligt socialt arbete;En//DT|UTR|SIN|IND//det//27 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//27 organisation//NN|UTR|SIN|IND|NOM//nsubj:pass//28 kännetecknas//VB|PRS|SFO//parataxis//11 av//PP//case//31 att//SN//fixed//29 den//PN|UTR|SIN|DEF|SUB/OBJ//obl:agent//28
13.1 Frivilligt socialt arbete;N//PM|NOM//nsubj:pass//3  //_SP////0 har//VB|PRS|AKT//aux//3 bildats//VB|SUP|SFO//ROOT//3 utifrån//PP//case//6 gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 idéer//NN|UTR|PLU|IND|NOM//obl//3 eller//KN//cc//8 intressen//NN|NEU|PLU|IND|NOM//conj//6 ,//MID//punct//3
13.1 Frivilligt socialt arbete;N//PM|NOM//nsubj//2  //_SP////0 har//VB|PRS|AKT//ROOT//2 en//DT|UTR|SIN|IND//det//6 viss//JJ|POS|UTR|SIN|IND|NOM//amod//6 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//6 karaktär//NN|UTR|SIN|IND|NOM//obj//2 och//KN//cc//11 någon//DT|UTR|SIN|IND//det//9 slags//NN|NEU|SIN|IND|GEN//nmod:poss//11 organisatorisk//JJ|POS|UTR|SIN|IND|NOM//amod//11 form//NN|UTR|SIN|IND|NOM//conj//6 ,//MID//punct//2
13.1 Frivilligt socialt arbete;N//PM|NOM//nsubj:pass//3  //_SP////0 kan//VB|PRS|AKT//aux//3 bildas//VB|INF|SFO//ROOT//3 och//KN//cc//5 upplösas//VB|INF|SFO//conj//3 utan//PP//case//7 beslut//NN|NEU|SIN|IND|NOM//obl//5 från//PP//case//9 myndighet//NN|UTR|SIN|IND|NOM//obl//5 ,//MID//punct//3
13.1 Frivilligt socialt arbete;N//PM|NOM//nsubj//2  //_SP////0 bygger//VB|PRS|AKT//ROOT//2 på//PP//case//5 frivillig//JJ|POS|UTR|SIN|IND|NOM//amod//5 anslutning//NN|UTR|SIN|IND|NOM//obl//2 och//KN//cc//9 ett//DT|NEU|SIN|IND//det//9 personligt//JJ|POS|NEU|SIN|IND|NOM//amod//9 medlemskap//NN|NEU|SIN|IND|NOM//conj//5 i//PP//case//12 någon//DT|UTR|SIN|IND//det//12 form//NN|UTR|SIN|IND|NOM//nmod//9 ,//MID//punct//2 samt//KN//punct//2
13.1 Frivilligt socialt arbete;N//PM|NOM//nsubj//3  //_SP////0 inte//AB//advmod//3 syftar//VB|PRS|AKT//ROOT//3 till//PP//case//7 privat//JJ|POS|UTR|SIN|IND|NOM//amod//7 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//7 vinst//NN|UTR|SIN|IND|NOM//obl//3 .//MAD//punct//3
13.1 Frivilligt socialt arbete;Organisationerna//NN|UTR|PLU|DEF|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//2  //_SP////2 genom//PP//mark//13 att//SN//mark//13 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//13 ,//MID//punct//9 utan//PP//case//9 uppmaning//NN|UTR|SIN|IND|NOM//obl//13 från//PP//case//11 myndighet//NN|UTR|SIN|IND|NOM//nmod//9 ,//MID//punct//9 engagerar//VB|PRS|AKT//advcl//2 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//13 praktiskt//AB|POS//advmod//13 i//PP//case//19 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 samhällsområden//NN|NEU|PLU|IND|NOM//obl//13 .//MAD//punct//2
