F-skattesystemet;–//PP//punct//4 några//DT|UTR/NEU|PLU|IND//det//4 särskilt//AB//advmod//3 utpekade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//4 frågor//NN|UTR|PLU|IND|NOM//ROOT//4
F-skattesystemet;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 F-skatteutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
F-skattesystemet;Stockholm//PM|NOM//ROOT//0 2018//RG|NOM//nummod//0

Till statsrådet och chefen för Finansdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 9//RO|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obl//1 2017//RG|NOM//nummod//4 att//IE//mark//7 tillsätta//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 se//VB|INF|AKT//acl//12 över//PL//case//16 F-skattesystemet//NN|NEU|SIN|DEF|NOM//obl//14 .//MAD//punct//1
Till statsrådet och chefen för Finansdepartementet;Samma//DT|UTR/NEU|SIN/PLU|IND//det//1 dag//NN|UTR|SIN|IND|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 f.d.//JJ|AN//amod//5 landshövdingen//NN|UTR|SIN|DEF|NOM//nmod//5 Lars-Erik//PM|NOM//nsubj//2 Lövdén//PM|NOM//flat:name//5 som//KN//mark//9 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//9 utredare//NN|UTR|SIN|IND|NOM//xcomp//2 .//MAD//punct//2
Till statsrådet och chefen för Finansdepartementet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 7//RO|NOM//nummod//5 december//NN|UTR|SIN|IND|NOM//nmod//8 2017//RG|NOM//nummod//7 välfärdsekonomen//NN|UTR|SIN|DEF|NOM//nmod//8 Thomas//PM|NOM//dep//2 Andrén//PM|NOM//flat:name//8 (//PAD//punct//8 Sveriges//PM|GEN//nmod:poss//12 akademikers//NN|UTR|PLU|IND|GEN//nmod:poss//13 centralorganisation//NN|UTR|SIN|IND|NOM//conj//8 )//PAD//punct//8 ,//MID//punct//18 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//17 Viveca//PM|NOM//nmod:poss//18 Bergstrand//PM|NOM//parataxis//2 (//PAD//punct//20 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//appos//18 )//PAD//punct//20 ,//MID//punct//29 rättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 experten//NN|UTR|SIN|DEF|NOM//nmod//25 Pia//PM|NOM//compound//29 Blank//PM|NOM//flat:name//25 Thörnroos//PM|NOM//flat:name//25 (//PAD//punct//29 Skatteverket//PM|NOM//conj//18 )//PAD//punct//29 ,//MID//punct//33 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//33 Nils-Fredrik//PM|NOM//appos//18 Carlsson//PM|NOM//flat:name//33 (//PAD//punct//36 Finansdepartementet//NN|NEU|SIN|DEF|NOM//appos//33 )//PAD//punct//36 ,//MID//punct//33 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//40 Helle//PM|NOM//appos//18 Ellehöj//PM|NOM//flat:name//40 (//PAD//punct//43 Arbetsmarknadsdepartementet//NN|NEU|SIN|DEF|NOM//appos//40 )//PAD//punct//43 ,//MID//punct//48 samhällspolitiske//JJ|POS|MAS|SIN|DEF|NOM//amod//47 chefen//NN|UTR|SIN|DEF|NOM//nmod//48 Samuel//PM|NOM//conj//18 Engblom//PM|NOM//flat:name//48 (//PAD//punct//48 Tjänstemännens//NN|UTR|PLU|DEF|GEN//nmod:poss//52 centralorganisation//NN|UTR|SIN|IND|NOM//conj//18 )//PAD//punct//18 ,//MID//punct//78 juristen//NN|UTR|SIN|DEF|NOM//nmod//56 Jonas//PM|NOM//nmod//78 Hamark//PM|NOM//flat:name//56 (//PAD//punct//59 Arbetsmiljöverket//PM|NOM//appos//56 )//PAD//punct//59 ,//MID//punct//56 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//63 Marianne//PM|NOM//appos//56 Kilnes//PM|GEN//flat:name//63 (//PAD//punct//66 Finansdepartementet//NN|NEU|SIN|DEF|NOM//appos//56 )//PAD//punct//66 ,//MID//punct//56 skattepolitiske//JJ|POS|MAS|SIN|DEF|NOM//nmod//71 experten//NN|UTR|SIN|DEF|NOM//nmod//71 Patrick//PM|NOM//conj//56 Krassén//PM|NOM//flat//71 (//PAD//punct//71 Företagarna//PM|NOM//nmod//71 )//PAD//punct//74 ,//MID//punct//77 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//78 Susanne//PM|NOM//dep//2 Mattsson//PM|NOM//flat:name//78 (//PAD//punct//78 Socialdepartementet//NN|NEU|SIN|DEF|NOM//appos//78 )//PAD//punct//78 ,//MID//punct//85 skatteexperten//NN|UTR|SIN|DEF|NOM//nmod//85 Lynda//PM|NOM//parataxis//2 Ondrasek//PM|GEN//nmod//87 Olofsson//PM|NOM//obj//85 (//PAD//punct//87 Svenskt//JJ|POS|NEU|SIN|IND|NOM//compound//90 Näringsliv//NN|NEU|SIN|IND|NOM//appos//87 )//PAD//punct//90 ,//MID//punct//94 juris//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//94 doktor//NN|UTR|SIN|IND|NOM//conj//85 och//KN//cc//97 skattechefen//NN|UTR|SIN|DEF|NOM//nmod//97 Urban//PM|NOM//conj//94 Rydin//PM|NOM//flat:name//97 (//PAD//punct//94 Lantbrukarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//101 Riksförbund//NN|NEU|SIN|IND|NOM//appos//94 )//PAD//punct//94 och//KN//cc//105 utredaren//NN|UTR|SIN|DEF|NOM//nmod//105 Mattias//PM|NOM//conj//85 Schulstad//PM|NOM//flat:name//105 (//PAD//punct//105 Landsorganisationen//NN|UTR|SIN|DEF|NOM//appos//105 i//PP//case//110 Sverige//PM|NOM//nmod//108 )//PAD//punct//108 .//MAD//punct//2
Till statsrådet och chefen för Finansdepartementet;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//nsubj:pass//2 anställdes//VB|PRT|SFO//ROOT//2 från//PP//case//6 den//DT|UTR|SIN|DEF//det//6 1//RO|NOM//nummod//6 december//NN|UTR|SIN|IND|NOM//obl//2 2017//RG|NOM//nummod//9 rättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 utredaren//NN|UTR|SIN|DEF|NOM//nmod//10 Liselotte//PM|NOM//conj//2 Westerlind//PM|NOM//flat:name//10 och//KN//cc//19 från//PP//case//16 den//DT|UTR|SIN|DEF//det//16 11//RG|NOM//nummod//16 december//NN|UTR|SIN|IND|NOM//nmod//19 2017//RG|NOM//nummod//19 kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//19 Catarina//PM|NOM//conj//10 Fäger//PM|NOM//flat:name//19 .//MAD//punct//10
Till statsrådet och chefen för Finansdepartementet;Under//PP//case//23 perioden//NN|UTR|SIN|DEF|NOM//obl//25 1//RG|NOM//nummod//25 april//NN|UTR|SIN|IND|NOM//obl//2 –//NN|AN//punct//25 15//RG|NOM//nummod//28 juni//NN|UTR|SIN|IND|NOM//appos//25 2018//RG|NOM//nummod//28 har//VB|PRS|AKT//aux//40 dessutom//AB//advmod//30 den//DT|UTR|SIN|DEF//det//34 fristående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//34 utredaren//NN|UTR|SIN|DEF|NOM//nmod//35 Christer//PM|NOM//nsubj//40 Persson//PM|NOM//flat:name//35 på//PP//case//38 deltid//NN|UTR|SIN|IND|NOM//nmod//35 varit//VB|SUP|AKT//cop//40 anställd//PC|PRF|UTR|SIN|IND|NOM//conj//2 som//KN//case//42 sekreterare//NN|UTR|SIN|IND|NOM//obl//40 i//PP//case//44 utredningen//NN|UTR|SIN|DEF|NOM//nmod//42 .//MAD//punct//2
Till statsrådet och chefen för Finansdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//8 ,//MID//punct//0 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//6 F-skatteutredningen//NN|UTR|SIN|DEF|NOM//obj//4 ,//MID//punct//0 överlämnar//VB|PRS|AKT//ROOT//8 härmed//AB//advmod//8 betänkandet//NN|NEU|SIN|DEF|NOM//obj//8 F-skattesystemet//NN|NEU|SIN|DEF|NOM//obj//8  //_SP////11 –//PAD//punct//17 några//DT|UTR/NEU|PLU|IND//det//17 särskilt//AB//advmod//16 utpekade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//17 frågor//NN|UTR|PLU|IND|NOM//nsubj:pass//27  //_SP////17 (//PAD//punct//17 SOU//PM|NOM//appos//17 2018:49//RG|NOM//nmod//20 )//PAD//punct//20 .//MAD//punct//17
Till statsrådet och chefen för Finansdepartementet; //_SP////23 Till//PP//case//26 betänkandet//NN|NEU|SIN|DEF|NOM//obl//27 fogas//VB|PRS|SFO//conj//8 ett//DT|NEU|SIN|IND//det//30 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//30 yttrande//NN|NEU|SIN|IND|NOM//xcomp//27 .//MAD//punct//8
