KG HAMMAR  ,  ärkebiskopen, samtalsledare ;ELISABETH//PM|NOM//nmod//1 GERLE//PM|NOM//ROOT//1  //_SP////1 ,//MID//punct//5  //_SP////3 präst//NN|UTR|SIN|IND|NOM//conj//1 och//KN//cc//7 forskare//NN|UTR|PLU|IND|NOM//conj//5 vid//PP//case//10 teologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 institutionen//NN|UTR|SIN|DEF|NOM//nmod//7 i//PP//case//12 Lund//PM|NOM//nmod//10
KG HAMMAR  ,  ärkebiskopen, samtalsledare ;RIENZIE//PM|NOM//nmod//1 PERERA//PM|NOM//nsubj:pass//13  //_SP////1 ,//MID//punct//5  //_SP////3 forskningschef//NN|UTR|SIN|IND|NOM//nsubj:pass//13 på//PP//case//7 Life//PM|NOM//nmod//5 &//KN|AN//cc//9 Peaceinstitutet//NN|NEU|SIN|DEF|NOM//conj//5 i//PP//case//11 Uppsala//PM|NOM//nmod//9 (//PAD//punct//5 saknas//VB|PRS|SFO//ROOT//13 på//PP//case//15 bild//NN|UTR|SIN|IND|NOM//obl//13 )//PAD//punct//13 MAGNUS//PM|NOM//nmod//18 ALMGREN//NN|UTR|SIN|DEF|NOM//appos//13  //_SP////18 ,//MID//punct//22  //_SP////20 kompetensutvecklare//NN|UTR|PLU|IND|NOM//conj//18 på//PP//case//25 dataföretaget//NN|NEU|SIN|DEF|NOM//nmod//25 Scandinavian//PM|NOM//nmod//22 PC//NN|AN//compound//27 Systems//PM|NOM//flat//25

Religion, konﬂikt och försoning;–//SN//punct//2 Nittonhundratalet//NN|NEU|SIN|DEF|NOM//nsubj//2 tycks//VB|PRS|SFO//ROOT//2 ha//VB|INF|AKT//aux//4 inneburit//VB|SUP|AKT//xcomp//2 ﬂer//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//compound:prt//4 mellanmänskliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 konﬂikter//NN|UTR|PLU|IND|NOM//obj//4 än//KN//mark//9 någonsin//AB//advmod//10 tidigare//AB|KOM//advmod//4 i//PP//case//13 mänsklighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//13 historia//NN|UTR|SIN|IND|NOM//obl//4 ,//MID//punct//15 säger//VB|PRS|AKT//parataxis//2 ärkebiskop//NN|UTR|SIN|IND|NOM//nmod//17 K//PM|NOM//nsubj//15 G//PM|NOM//flat:name//17 Hammar//PM|NOM//flat:name//17 och//KN//cc//21 fortsätter//VB|PRS|AKT//conj//15 ://MID//punct//21
Religion, konﬂikt och försoning;Jag//PN|UTR|SIN|DEF|SUB//nsubj//24 skriver//VB|PRS|AKT//parataxis//2 ”//PM|NOM//obj//24 tycks//VB|PRS|SFO//xcomp//24 ”//PAD//punct//2 eftersom//SN//mark//31 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//31 kan//VB|PRS|AKT//aux//31 bero//VB|INF|AKT//advcl//2 på//PP//mark//36 att//SN//mark//36 vi//PN|UTR|PLU|DEF|SUB//nsubj//36 dels//KN//advmod//36 vet//VB|PRS|AKT//advcl//31 mer//AB|KOM//advmod//36 om//PP//case//39 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obl//36 i//PP//advmod//36 dag//NN|UTR|SIN|IND|NOM//fixed//40 ,//MID//punct//46 dels//KN//advmod//46 är//VB|PRS|AKT//cop//46 mer//AB|KOM//advmod//46 effektiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//2 i//PP//case//49 vår//PS|UTR|SIN|DEF//nmod:poss//49 förstörelse//NN|UTR|SIN|IND|NOM//obl//46 ,//MID//punct//46 vilket//HP|NEU|SIN|IND//nsubj//52 gör//VB|PRS|AKT//advcl//2 att//SN//mark//56 vi//PN|UTR|PLU|DEF|SUB//nsubj//56 också//AB//advmod//56 räknar//VB|PRS|AKT//ccomp//52 med//PP//case//59 ﬂer//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//59 konﬂikter//NN|UTR|PLU|IND|NOM//obl//56 .//MAD//punct//2
Religion, konﬂikt och försoning;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//64 kan//VB|PRS|AKT//aux//64 också//AB//advmod//64 handla//VB|INF|AKT//parataxis//2 om//PP//mark//68 att//SN//mark//68 konﬂikterna//NN|UTR|PLU|DEF|NOM//nsubj//68 fått//VB|SUP|AKT//advcl//64 mer//AB|KOM//advmod//70 fruktansvärda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 konsekvenser//NN|UTR|PLU|IND|NOM//obj//68 än//KN//mark//73 någonsin//AB//advmod//74 tidigare//AB|KOM//advmod//68 .//MID//punct//64
Religion, konﬂikt och försoning;Därom//AB//advmod//80 torde//VB|PRT|AKT//aux//80 ingen//DT|UTR|SIN|IND//det//79 diskussion//NN|UTR|SIN|IND|NOM//nsubj//80 råda//VB|INF|AKT//parataxis//64 .//MAD//punct//80
Religion, konﬂikt och försoning;Mot//PP//case//83 slutet//NN|NEU|SIN|DEF|NOM//obl//80 av//PP//case//85 seklet//NN|NEU|SIN|DEF|NOM//nmod//83 har//VB|PRS|AKT//aux//93 konﬂikterna//NN|UTR|PLU|DEF|NOM//obj//86 mellan//PP//case//89 stater//NN|UTR|PLU|IND|NOM//nmod//87 i//PP//advmod//93 stort//AB//fixed//90 sett//PC|PRF|NEU|SIN|IND|NOM//fixed//90 upphört//VB|SUP|AKT//conj//80 .//MAD//punct//80
Religion, konﬂikt och försoning;Däremot//AB//advmod//96 fortsätter//VB|PRS|AKT//parataxis//80 inomstatliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//98 konﬂikter//NN|UTR|PLU|IND|NOM//obj//96 och//KN//cc//101 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//101 har//VB|PRS|AKT//conj//80 nästan//AB//advmod//103 alltid//AB//advmod//101 religiösa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//105 orsaker//NN|UTR|PLU|IND|NOM//obj//101 eller//KN//cc//107 tolkas//VB|PRS|SFO//conj//80 i//PP//case//110 religiösa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//110 termer//NN|UTR|PLU|IND|NOM//obl//107 .//MAD//punct//80
Religion, konﬂikt och försoning;Samtidigt//AB//advmod//113 vet//VB|PRS|AKT//parataxis//80 vi//PN|UTR|PLU|DEF|SUB//nsubj//113 att//SN//mark//123 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//123 (//PAD//punct//116 ?//MID//punct//116 )//PAD//punct//120
Religion, konﬂikt och försoning;religioner//NN|UTR|PLU|IND|NOM//nsubj//123 i//PP//case//122 djupen//NN|NEU|PLU|DEF|NOM//nmod//120 bär//VB|PRS|AKT//ccomp//113 på//PP//case//125 försoningstanken//NN|UTR|SIN|DEF|NOM//obl//123 och//KN//cc//129 i//PP//case//129 sin//PS|UTR|SIN|DEF//nmod:poss//129 etik//NN|UTR|SIN|IND|NOM//conj//125 har//VB|PRS|AKT//conj//64 nästankärleken//NN|UTR|SIN|DEF|NOM//obj//130 som//KN//mark//134 det//DT|NEU|SIN|DEF//det//134 primära//JJ|POS|UTR/NEU|SIN|DEF|NOM//xcomp//130 .//MAD//punct//64
