– kompletterande nationella bestämmelser om cybersäkerhetscertifiering;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Cybersäkerhetsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
– kompletterande nationella bestämmelser om cybersäkerhetscertifiering;Stockholm//PM|NOM//ROOT//0 2020//RG|NOM//nummod//0

Till statsrådet Peter Hultqvist;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 31//RG|NOM//nummod//4 oktober//NN|UTR|SIN|IND|NOM//obl//1 2019//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//5 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 (//PAD//punct//10 dir//NN|AN//appos//10 .//MAD//punct//10
Till statsrådet Peter Hultqvist;2019:73//RG|NOM//obl//7 )//PAD//punct//14 med//PP//case//17 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//19 lämna//VB|INF|AKT//acl//17 förslag//NN|NEU|SIN|IND|NOM//obj//19 till//PP//case//22 anpassningar//NN|UTR|PLU|IND|NOM//nmod//20 och//KN//cc//25 kompletterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 författningsbestämmelser//NN|UTR|PLU|IND|NOM//conj//22 som//KN//case//27 EU//PM|NOM//nmod//25 ://MID//punct//27 s//NN|NEU|SIN|IND|GEN//nummod//30 cybersäkerhetsakt//NN|UTR|SIN|IND|NOM//obl//31 ger//VB|PRS|AKT//conj//1 anledning//NN|UTR|SIN|IND|NOM//obj//31 till//PP//compound:prt//31 och//KN//cc//36 att//IE//mark//36 överväga//VB|INF|AKT//conj//31 behovet//NN|NEU|SIN|DEF|NOM//obj//36 av//PP//case//41 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//41 krav//NN|NEU|PLU|IND|NOM//nmod//37 till//PP//case//43 skydd//NN|NEU|SIN|IND|NOM//obl//36 för//PP//case//46 Sveriges//PM|GEN//nmod:poss//46 säkerhet//NN|UTR|SIN|IND|NOM//obl//36 .//MAD//punct//1
Till statsrådet Peter Hultqvist;Den//DT|UTR|SIN|DEF//det//2 3//RO|NOM//nummod//2 februari//NN|UTR|SIN|IND|NOM//obl//4 2020//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 lagmannen//NN|UTR|SIN|DEF|NOM//nmod//6 Nils//PM|NOM//nsubj:pass//4 Cederstierna//PM|NOM//flat:name//6 som//KN//mark//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//xcomp//4 .//MAD//punct//4
Till statsrådet Peter Hultqvist;Som//KN//case//13 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//14 förordnades//VB|PRT|SFO//parataxis//4 den//DT|UTR|SIN|DEF//det//17 2//RO|NOM//nummod//17 mars//NN|UTR|SIN|IND|NOM//nmod//20 2020//RG|NOM//nummod//20 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 Karin//PM|NOM//nmod//66 Byström//PM|NOM//flat:name//20 ,//MID//punct//23 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//conj//20 ,//MID//punct//23 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//26 Catharina//PM|NOM//conj//20 Hallström//PM|NOM//flat:name//26 ,//MID//punct//29 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//conj//20 ,//MID//punct//29 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//32 Richard//PM|NOM//conj//20 Henriksson//PM|NOM//flat:name//32 ,//MID//punct//35 Utrikesdepartementet//NN|NEU|SIN|DEF|NOM//conj//20 ,//MID//punct//20 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//38 Linnéa//PM|NOM//conj//20 Jannes//PM|GEN//flat:name//38 ,//MID//punct//41 Utrikesdepartementet//NN|NEU|SIN|DEF|NOM//conj//20 ,//MID//punct//20 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//44 Staffan//PM|NOM//appos//20 Lindmark//PM|NOM//flat:name//44 ,//MID//punct//47 Infrastrukturdepartementet//NN|NEU|SIN|DEF|NOM//conj//20 ,//MID//punct//50 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//50 Emelie//PM|NOM//conj//20 Smiding//PM|NOM//flat//50 ,//MID//punct//53 Justitiedepartementet//PM|NOM//conj//20 ,//MID//punct//20 och//KN//cc//57 militärsakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//57 Anna//PM|NOM//conj//20 Weibull//PM|NOM//flat:name//57 ,//MID//punct//57 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//conj//20 .//MAD//punct//20
Till statsrådet Peter Hultqvist;Samma//DT|UTR/NEU|SIN/PLU|IND//det//63 dag//NN|UTR|SIN|IND|NOM//obl//64 förordnades//VB|PRT|SFO//acl//20 bedömningsledaren//NN|UTR|SIN|DEF|NOM//nmod//66 Curt-Peter//PM|NOM//dep//4 Askolin//PM|NOM//flat:name//66 ,//MID//punct//66 Styrelsen//NN|UTR|SIN|DEF|NOM//conj//66 för//PP//case//71 ackreditering//NN|UTR|SIN|IND|NOM//nmod//69 och//KN//cc//74 teknisk//JJ|POS|UTR|SIN|IND|NOM//amod//74 kontroll//NN|UTR|SIN|IND|NOM//conj//66 (//PAD//punct//76 Swedac//PM|NOM//appos//66 )//PAD//punct//76 ,//MID//punct//66 verksjuristen//NN|UTR|SIN|DEF|NOM//nmod//80 Charlotte//PM|NOM//appos//66 Hakelius//PM|NOM//flat:name//80 ,//MID//punct//83 Säkerhetspolisen//NN|UTR|SIN|DEF|NOM//conj//66 ,//MID//punct//83 tf//NN|AN//conj//66 .//MAD//punct//66
Till statsrådet Peter Hultqvist;enhetschefen//NN|UTR|SIN|DEF|NOM//nmod//88 Ronny//PM|NOM//appos//66 Harpe//PM|NOM//flat:name//88 ,//MID//punct//88 Myndigheten//NN|UTR|SIN|DEF|NOM//conj//66 för//PP//case//93 samhällsskydd//NN|UTR|SIN|IND|NOM//nmod//91 och//KN//cc//95 beredskap//NN|UTR|SIN|IND|NOM//conj//93 (//PAD//punct//91 MSB//PM|NOM//appos//91 )//PAD//punct//91 ,//MID//punct//101 kommendören//NN|UTR|SIN|DEF|NOM//nmod//101 Per-Ola//PM|NOM//conj//66 Johansson//PM|NOM//flat:name//101 ,//MID//punct//101 Försvarsmakten//NN|UTR|SIN|DEF|NOM//conj//66 ,//MID//punct//107 juristen//NN|UTR|SIN|DEF|NOM//nmod//107 Britt-Marie//PM|NOM//conj//66 Jönson//PM|NOM//flat:name//107 ,//MID//punct//110 Post-//NN|UTR|-|-|SMS//conj//66 och//KN//cc//112 telestyrelsen//NN|UTR|SIN|DEF|NOM//conj//66 ,//MID//punct//115 director//NN|UTR|SIN|IND|NOM//nmod//115 Mats//PM|NOM//conj//66 Nilsson//PM|NOM//flat:name//115 ,//MID//punct//115 Teknikföretagen//PM|NOM//conj//66 ,//MID//punct//120 ordföranden//NN|UTR|SIN|DEF|NOM//conj//66 för//PP//case//122 Cyberförsvarsgruppen//NN|UTR|SIN|DEF|NOM//nmod//120 Richard//PM|NOM//flat:name//66 Oehme//PM|NOM//flat:name//123 ,//MID//punct//66 Säkerhets-//NN|UTR|-|-|SMS//conj//66 och//KN//cc//128 försvarsföretagen//NN|UTR|SIN|DEF|NOM//conj//66 (//PAD//punct//66 SOFF//PM|NOM//appos//66 )//PAD//punct//66 ,//MID//punct//133 handläggaren//NN|UTR|SIN|DEF|NOM//nmod//134 Tommy//PM|NOM//appos//66 Schönberg//PM|NOM//flat:name//134 ,//MID//punct//137 Vinnova//PM|NOM//conj//134 ,//MID//punct//66 och//KN//cc//140 chefen//NN|UTR|SIN|DEF|NOM//conj//66 för//PP//case//142 FMV//PM|NOM//nmod//140 ///MID//cc//144 CSEC//PM|NOM//conj//66 Dag//PM|NOM//flat:name//66 Ströman//PM|NOM//flat:name//66 ,//MID//punct//149 Försvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//149 materielverk//NN|NEU|SIN|IND|NOM//conj//66 ,//MID//punct//149 som//KN//mark//152 experter//NN|UTR|PLU|IND|NOM//advcl//66 i//PP//case//154 utredningen//NN|UTR|SIN|DEF|NOM//nmod//152 .//MAD//punct//4
Till statsrådet Peter Hultqvist;Den//DT|UTR|SIN|DEF//det//158 13//RG|NOM//nummod//158 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//160 2020//RG|NOM//nummod//158 förordnades//VB|PRT|SFO//parataxis//4 även//AB//advmod//163 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//163 Anneli//PM|NOM//nsubj:pass//160 Hagdahl//PM|NOM//flat:name//163 ,//MID//punct//166 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//conj//163 ,//MID//punct//166 som//KN//mark//169 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//conj//163 i//PP//case//171 utredningen//NN|UTR|SIN|DEF|NOM//nmod//169 och//KN//cc//174 biträdande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//174 säkerhetsskyddschefen//NN|UTR|SIN|DEF|NOM//nmod//175 Ylva//PM|NOM//conj//169 Söderlund//PM|NOM//flat:name//175 ,//MID//punct//178 Trafikverket//PM|NOM//conj//169 ,//MID//punct//181 som//KN//case//181 expert//NN|UTR|SIN|IND|NOM//conj//169 .//MAD//punct//4
Till statsrådet Peter Hultqvist;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 anställdes//VB|PRT|SFO//ROOT//4 den//DT|UTR|SIN|DEF//det//7 3//RO|NOM//nummod//7 februari//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2020//RG|NOM//nummod//9 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//parataxis//4 Patrik//PM|NOM//nsubj//9 Roos//PM|NOM//flat//10 .//MAD//punct//4
