Sammanfattning av uppdraget;En//DT|UTR|SIN|IND//det//2 parlamentarisk//JJ|POS|UTR|SIN|IND|NOM//amod//2 kommitté//NN|UTR|SIN|IND|NOM//nsubj:pass//3 tillkallas//VB|PRS|SFO//ROOT//3 med//PP//case//5 uppdrag//NN|NEU|SIN|IND|NOM//obl//3 att//IE//mark//7 förbereda//VB|INF|AKT//acl//5 den//DT|UTR|SIN|DEF//det//10 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 ställningstaganden//NN|NEU|PLU|IND|NOM//obj//7 inför//PP//case//13 FN//PM|NOM//nmod//11 ://MID//punct//11 s//NN|AN//case//16 livsmedels-//NN|NEU|-|-|SMS//appos//11 och//KN//cc//18 jordbruksorganisations//NN|UTR|SIN|IND|NOM//conj//16 (//PAD//punct//16 FAO//PM|NOM//conj//16 )//PAD//punct//16 världslivsmedelstoppmöte//NN|NEU|SIN|IND|NOM//parataxis//3 den//DT|UTR|SIN|DEF//det//25 10–13//RG|NOM//nummod//25 juni//NN|UTR|SIN|IND|NOM//obl//22 2002//RG|NOM//nummod//25 .//MAD//punct//3

Bakgrund;Under//PP//case//3 1900-talets//NN|NEU|SIN|DEF|GEN//nmod:poss//3 sista//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//3 hälft//NN|UTR|SIN|IND|NOM//obl//4 skedde//VB|PRT|AKT//ROOT//4 en//DT|UTR|SIN|IND//det//9 stark//JJ|POS|UTR|SIN|IND|NOM//amod//9 global//JJ|POS|UTR|SIN|IND|NOM//amod//9 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//9 utveckling//NN|UTR|SIN|IND|NOM//nsubj//4 .//MAD//punct//4
Bakgrund;Många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 människor//NN|UTR|PLU|IND|NOM//nsubj//13 fick//VB|PRT|AKT//parataxis//4 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//13 bättre//AB|KOM//xcomp//13 .//MAD//punct//13
Bakgrund;Utvecklingen//NN|UTR|SIN|DEF|NOM//nsubj//21 var//VB|PRT|AKT//cop//21 dock//AB//advmod//21 inte//AB//advmod//21 entydig//JJ|POS|UTR|SIN|IND|NOM//parataxis//13 .//MAD//punct//21
Bakgrund;Den//DT|UTR|SIN|DEF//det//25 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//25 utvecklingen//NN|UTR|SIN|DEF|NOM//nsubj//26 kom//VB|PRT|AKT//parataxis//21 inte//AB//advmod//26 alla//DT|UTR/NEU|PLU|IND/DEF//det//29 länder//NN|NEU|PLU|IND|NOM//obj//26 och//KN//cc//31 människor//NN|UTR|PLU|IND|NOM//conj//29 till//PP//case//33 del//NN|UTR|SIN|IND|NOM//obl//26 .//MID//punct//13
Bakgrund;Flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//36 länder//NN|NEU|PLU|IND|NOM//nsubj:pass//40 i//PP//case//39 tredje//RO|NOM//amod//39 världen//NN|UTR|SIN|DEF|NOM//nmod//36 präglades//VB|PRT|SFO//parataxis//13 fortfarande//AB//advmod//40 av//PP//case//44 låga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 inkomster//NN|UTR|PLU|IND|NOM//obl//40 och//KN//cc//46 livsmedelsbrist//NN|UTR|SIN|IND|NOM//conj//44 .//MAD//punct//13
Bakgrund;Klyftan//NN|UTR|SIN|DEF|NOM//obj//13 mellan//PP//case//50 dem//PN|UTR/NEU|PLU|DEF|OBJ//nmod//48 som//HP|-|-|-//nsubj//52 levde//VB|PRT|AKT//acl:relcl//50 under//PP//case//55 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//55 levnadsbetingelser//NN|UTR|PLU|IND|NOM//obl//52 och//KN//cc//57 dem//PN|UTR/NEU|PLU|DEF|OBJ//conj//55 som//HP|-|-|-//nsubj//59 levde//VB|PRT|AKT//acl:relcl//57 i//PP//case//61 fattigdom//NN|UTR|SIN|IND|NOM//obl//59 tycktes//VB|PRT|SFO//conj//13 oöverstiglig//JJ|POS|UTR|SIN|IND|NOM//xcomp//62 och//KN//cc//65 fanns//VB|PRT|SFO//conj//62 såväl//KN//advmod//70 inom//PP//case//70 som//KN//case//70 mellan//PP//case//70 länder//NN|NEU|PLU|IND|NOM//obl//65 .//MAD//punct//13
Bakgrund;Vid//PP//case//73 slutet//NN|NEU|SIN|DEF|NOM//obl//13 av//PP//case//75 1900-talet//NN|NEU|SIN|DEF|NOM//nmod//73 var//VB|PRT|AKT//aux:pass//81 nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//78 800//RG|NOM//nummod//79 miljoner//NN|UTR|PLU|IND|NOM//nmod//80 människor//NN|UTR|PLU|IND|NOM//nsubj//81 drabbade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//13 av//PP//case//83 undernäring//NN|UTR|SIN|IND|NOM//obl:agent//81 ,//MID//punct//85 hunger//NN|UTR|SIN|IND|NOM//conj//83 eller//KN//cc//87 svält//NN|UTR|SIN|IND|NOM//conj//83 .//MAD//punct//4
Bakgrund;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 var//VB|PRT|AKT//cop//4 mot//PP//case//4 den//DT|UTR|SIN|DEF//det//4 bakgrunden//NN|UTR|SIN|DEF|NOM//ROOT//4 som//HP|-|-|-//obl//7 FAO//PM|NOM//nsubj//7 tog//VB|PRT|AKT//acl:relcl//4 initiativ//NN|NEU|SIN|IND|NOM//obj//7 till//PP//case//11 ett//DT|NEU|SIN|IND//det//11 toppmöte//NN|NEU|SIN|IND|NOM//obl//7 om//PP//case//13 livsmedelssäkerhet//NN|UTR|SIN|IND|NOM//nmod//11 i//PP//case//15 Rom//PM|NOM//nmod//13 den//DT|UTR|SIN|DEF//det//18 13–17//RG|NOM//nmod:poss//18 november//NN|UTR|SIN|IND|NOM//obl//7 år//NN|NEU|SIN|IND|NOM//nmod//20 1996//RG|NOM//obl//7 –//PM|NOM//punct//22 World//PM|NOM//dep//103 Food//PM|NOM//flat//22 Summit//PM|NOM//flat:name//22 ,//MID//punct//22 WFS//PM|NOM//conj//22 .//MAD//punct//22
Bakgrund;En//PN|UTR|SIN|IND|SUB/OBJ//conj//22 av//PP//case//30 orsakerna//NN|UTR|PLU|DEF|NOM//nmod//28 till//PP//mark//33 att//IE//mark//33 sammankalla//VB|INF|AKT//acl//30 toppmötet//NN|NEU|SIN|DEF|NOM//obj//33 var//VB|PRT|AKT//cop//36 insikten//NN|UTR|SIN|DEF|NOM//conj//22 om//PP//mark//58 att//SN//mark//58 en//DT|UTR|SIN|IND//det//40 förutsättning//NN|UTR|SIN|IND|NOM//obl//58 för//PP//case//44 all//DT|UTR|SIN|IND/DEF//det//44 mänsklig//JJ|POS|UTR|SIN|IND|NOM//amod//44 utveckling//NN|UTR|SIN|IND|NOM//nmod//40 är//VB|PRS|AKT//cop//40 att//SN//mark//48 människor//NN|UTR|PLU|IND|NOM//nsubj//48 får//VB|PRS|AKT//csubj//40 tillräckligt//AB|POS//xcomp//48 med//PP//case//51 föda//NN|UTR|SIN|IND|NOM//obl//48 och//KN//cc//53 näringsämnen//NN|NEU|PLU|IND|NOM//conj//51 .//MAD//punct//40
