4 Författningskommentar till balken ;4.1//RG|NOM//nmod//1 Inledning//NN|UTR|SIN|IND|NOM//ROOT//1
4 Författningskommentar till balken ;Allmänt//AB|POS//nsubj//1 gäller//VB|PRS|AKT//ROOT//1 att//SN//mark//7 endast//AB//advmod//4 bestämmelser//NN|UTR|PLU|IND|NOM//dislocated//7 som//HP|-|-|-//nsubj:pass//7 har//VB|PRS|AKT//aux//7 ändrats//VB|SUP|SFO//ccomp//1 i//PP//advmod//7 sak//NN|UTR|SIN|IND|NOM//fixed//8 eller//KN//cc//12 vad//HP|NEU|SIN|IND//nsubj//12 gäller//VB|PRS|AKT//conj//7 terminologi//NN|UTR|SIN|IND|NOM//obj//12 kommenteras//VB|PRS|SFO//xcomp//7 över//PP//advmod//14 huvud//NN|NEU|SIN|IND|NOM//fixed//15 taget//PC|PRF|NEU|SIN|IND|NOM//fixed//15 .//MAD//punct//1
4 Författningskommentar till balken ;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//20 innebär//VB|PRS|AKT//parataxis//1 att//SN//mark//26 vi//PN|UTR|PLU|DEF|SUB//nsubj//26 som//KN//nmod//22 regel//NN|UTR|SIN|IND|NOM//fixed//23 varken//KN//cc//26 kommenterar//VB|PRS|AKT//ccomp//20 vad//HP|NEU|SIN|IND//obj//26 en//DT|UTR|SIN|IND//det//30 viss//JJ|POS|UTR|SIN|IND|NOM//amod//30 bestämmelse//NN|UTR|SIN|IND|NOM//obj//26 i//PP//case//32 balken//NN|UTR|SIN|DEF|NOM//nmod//30 motsvarar//VB|PRS|AKT//xcomp//26 enligt//PP//case//36 äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//36 lagstiftning//NN|UTR|SIN|IND|NOM//obl//33 eller//KN//cc//43 att//SN//mark//43 en//DT|UTR|SIN|IND//det//41 viss//JJ|POS|UTR|SIN|IND|NOM//amod//41 bestämmelse//NN|UTR|SIN|IND|NOM//nsubj//43 har//VB|PRS|AKT//aux//43 genomgått//VB|SUP|AKT//conj//26 väsentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 språkliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 justeringar//NN|UTR|PLU|IND|NOM//obj//43 .//MAD//punct//26
4 Författningskommentar till balken ;I//PP//case//50 dessa//DT|UTR/NEU|PLU|DEF//det//50 fall//NN|NEU|PLU|IND|NOM//obl//53 får//VB|PRS|AKT//aux//53 läsaren//NN|UTR|SIN|DEF|NOM//nsubj//53 vända//VB|INF|AKT//conj//26 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//53 till//PP//case//56 paragrafregistret//NN|NEU|SIN|DEF|NOM//obl//53 för//PP//mark//59 att//IE//mark//59 få//VB|INF|AKT//advcl//53 reda//PL//compound:prt//59 på//PP//mark//66 var//VB|PRT|AKT//advmod//66 en//DT|UTR|SIN|IND//det//65 viss//JJ|POS|UTR|SIN|IND|NOM//amod//65 bestämmelse//NN|UTR|SIN|IND|NOM//nsubj//66 kommer//VB|PRS|AKT//advcl//53 ifrån//PL//compound:prt//66 .//MAD//punct//20
4 Författningskommentar till balken ;Oklarheter//NN|UTR|PLU|IND|NOM//nsubj:pass//8 beträffande//PP//case//3 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 lagstiftning//NN|UTR|SIN|IND|NOM//nmod//0 som//HP|-|-|-//nsubj//5 består//VB|PRS|AKT//acl:relcl//3 i//PP//case//7 balken//NN|UTR|SIN|DEF|NOM//obl//5 kommenteras//VB|PRS|SFO//ROOT//8 inte//AB//advmod//8 annat//PN|NEU|SIN|IND|SUB/OBJ//nsubj:pass//8 än//KN//case//14 i//PP//case//14 rena//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 undantagsfall//NN|NEU|PLU|IND|NOM//obl//8 .//MID//punct//8
4 Författningskommentar till balken ;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//20 kan//VB|PRS|AKT//aux//20 t.ex.//AB|AN//advmod//20 vara//VB|INF|AKT//cop//20 fallet//NN|NEU|SIN|DEF|NOM//parataxis//8 då//HA//mark//30 vi//PN|UTR|PLU|DEF|SUB//nsubj//30 inte//AB//advmod//30 inom//PP//case//27 ramen//NN|UTR|SIN|DEF|NOM//fixed//24 för//PP//fixed//24 uppdraget//NN|NEU|SIN|DEF|NOM//obl//30 har//VB|PRS|AKT//aux//30 kunnat//VB|SUP|AKT//aux//30 lösa//VB|INF|AKT//advcl//20 frågan//NN|UTR|SIN|DEF|NOM//obj//30 .//MAD//punct//20
4 Författningskommentar till balken ;Författningskommentaren//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 delats//VB|SUP|SFO//ROOT//2 in//PL//compound:prt//2 på//PP//case//6 samma//DT|UTR/NEU|SIN/PLU|IND//det//6 sätt//NN|NEU|SIN|IND|NOM//obl//2 som//KN//mark//8 SFB//PM|NOM//acl//6 ,//MID//punct//8 dvs.//AB|AN//advmod//12 utifrån//PP//case//12 avdelningar//NN|UTR|PLU|IND|NOM//appos//8 ,//MID//punct//14 underavdelningar//NN|UTR|PLU|IND|NOM//conj//12 ,//MID//punct//16 kapitel//NN|NEU|PLU|IND|NOM//conj//12 och//KN//cc//19 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 paragrafer//NN|UTR|PLU|IND|NOM//conj//12 .//MAD//punct//2
4 Författningskommentar till balken ;4.2//RG|NOM//nummod//22 Avdelning//NN|UTR|SIN|IND|NOM//appos//2 A//PP//nummod//22 Övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 bestämmelser//NN|UTR|PLU|IND|NOM//nmod//26 4.2.1//RG|NOM//nmod//27 Inledning//NN|UTR|SIN|IND|NOM//appos//22
4 Författningskommentar till balken ;Medan//SN//mark//5 avdelningarna//NN|UTR|PLU|DEF|NOM//nmod//2 B//PM|NOM//nsubj//5 G//PM|NOM//flat:name//2 är//VB|PRS|AKT//cop//5 indelade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//20 utifrån//PP//case//9 den//DT|UTR|SIN|DEF//det//9 försäkrades//JJ|POS|MAS|SIN|DEF|GEN//amod//9 behov//NN|NEU|PLU|IND|NOM//obl//5 i//PP//case//12 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 skeden//NN|NEU|PLU|IND|NOM//nmod//9 av//PP//case//14 livet//NN|NEU|SIN|DEF|NOM//nmod//12 är//VB|PRS|AKT//cop//20 avdelning//NN|UTR|SIN|IND|NOM//nmod//17 A//NN|NEU|SIN|IND|NOM//nsubj//20 mer//AB|KOM//advmod//19 försäkringstekniskt//AB|POS//advmod//20 uppbyggd//PC|PRF|UTR|SIN|IND|NOM//advcl//27 .//MAD//punct//20
4 Författningskommentar till balken ;I//PP//case//23 avdelning//NN|UTR|SIN|IND|NOM//nmod//24 A//NN|NEU|SIN|IND|NOM//obl//20 har//VB|PRS|AKT//aux//27 sålunda//AB//advmod//27 samlats//VB|SUP|SFO//ROOT//27 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//27 som//HP|-|-|-//nsubj//30 avgränsar//VB|PRS|AKT//acl:relcl//28 den//DT|UTR|SIN|DEF//det//33 försäkrade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//33 personkretsen//NN|UTR|SIN|DEF|NOM//obj//30 och//KN//cc//39 som//HP|-|-|-//nsubj//39 i//PP//advmod//39 dag//NN|UTR|SIN|IND|NOM//fixed//36 huvudsakligen//AB//advmod//39 finns//VB|PRS|SFO//conj//30 i//PP//case//41 SofL//PM|NOM//obl//39 ,//MID//punct//43 SjLL//PM|NOM//conj//39 ,//MID//punct//45 LSP//NN|AN//conj//43 och//KN//cc//47 KSL//PM|NOM//conj//43 .//MAD//punct//27
4 Författningskommentar till balken ;För//PP//mark//51 att//IE//mark//51 fånga//VB|INF|AKT//advcl//58 upp//PL//compound:prt//51 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//54 förmåner//NN|UTR|PLU|IND|NOM//nsubj//55 har//VB|PRS|AKT//aux//58 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//57 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//58 tillkommit//VB|SUP|AKT//parataxis//27 som//HP|-|-|-//nsubj//60 reglerar//VB|PRS|AKT//acl:relcl//58 de//DT|UTR/NEU|PLU|DEF//det//63 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//63 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//60 för//PP//mark//70 att//SN//mark//70 någon//PN|UTR|SIN|IND|SUB/OBJ//nsubj//70 skall//VB|PRS|AKT//aux//70 kunna//VB|INF|AKT//aux//70 vara//VB|INF|AKT//aux:pass//70 försäkrad//PC|PRF|UTR|SIN|IND|NOM//advcl//60 för//PP//case//72 smittbärarersättning//NN|UTR|SIN|IND|NOM//obl//70 och//KN//cc//75 frivillig//JJ|POS|UTR|SIN|IND|NOM//amod//75 sjukpenningförsäkring//NN|UTR|SIN|IND|NOM//conj//72 .//MAD//punct//27
