Sammanfattning i delrapporten (SOU:152) Vindkraften en ren energikälla tar plats;(//PAD//punct//1 Utdrag//NN|NEU|SIN|IND|NOM//ROOT//1 )//PAD//punct//1

Vindkraft i Sverige;Av//PP//case//1 kapitel//NN|NEU|SIN|IND|NOM//obl//4 2//RG|NOM//nummod//1  //_SP////2 framgår//VB|PRS|AKT//advcl//25 att//SN//mark//13 den//DT|UTR|SIN|DEF//det//8 installerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//8 effekten//NN|UTR|SIN|DEF|NOM//nsubj//13 i//PP//case//11 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 vindkraftverk//NN|NEU|PLU|IND|NOM//nmod//8 har//VB|PRS|AKT//aux//13 ökat//VB|SUP|AKT//ccomp//4 nästan//AB//advmod//15 tjugo//RG|NOM//nummod//16 gånger//NN|UTR|PLU|IND|NOM//obl//13 under//PP//case//20 den//DT|UTR|SIN|DEF//det//20 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//20 sjuårsperioden//NN|UTR|SIN|DEF|NOM//obl//13 .//MAD//punct//4
Vindkraft i Sverige;Vid//PP//case//23 årsskiftet//NN|NEU|SIN|DEF|NOM//nmod//24 1997/1998//RG|NOM//obl//4 fanns//VB|PRT|SFO//advcl//45 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//25 ca//AB|AN//advmod//28 120//RG|NOM//nummod//29 MW//NN|AN//nmod//31 installerad//PC|PRF|UTR|SIN|IND|NOM//amod//31 effekt//NN|UTR|SIN|IND|NOM//nsubj//25 .//MAD//punct//25
Vindkraft i Sverige;Fram//AB//advmod//35 t.o.m.//AB|AN//case//35 oktober//NN|UTR|SIN|IND|NOM//obl//25 i//PP//case//37 år//NN|NEU|SIN|IND|NOM//nmod//35 (//PAD//punct//37 1998//RG|NOM//nummod//37 )//PAD//punct//25 hade//VB|PRT|AKT//aux//45 den//DT|UTR|SIN|DEF//det//44 installerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//44 effekten//NN|UTR|SIN|DEF|NOM//nsubj//45 ökat//VB|SUP|AKT//ROOT//45 till//PP//case//49 omkring//AB//advmod//48 165//RG|NOM//nummod//49 MW//NN|AN//obl//45 och//KN//cc//52 antalet//NN|NEU|SIN|DEF|NOM//nmod//52 verk//NN|NEU|PLU|IND|NOM//conj//45 till//PP//case//55 över//AB//advmod//55 400//RG|NOM//nmod//52 .//MAD//punct//45
Vindkraft i Sverige;De//DT|UTR/NEU|PLU|DEF//det//59 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//59 vindkraftverken//NN|NEU|PLU|DEF|NOM//nsubj//60 finns//VB|PRS|SFO//parataxis//45 på//PP//case//62 Gotland//PM|NOM//obl//60 ,//MID//punct//64 Öland//PM|NOM//conj//62 och//KN//cc//67 vid//PP//case//67 kusterna//NN|UTR|PLU|DEF|NOM//conj//62 i//PP//case//70 södra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//70 Sverige//PM|NOM//nmod//67 .//MAD//punct//45
Vindkraft i Sverige;Vindkraftverken//NN|UTR|SIN|DEF|NOM//nsubj//1 producerade//VB|PRT|AKT//csubj//39 under//PP//case//4 år//NN|NEU|SIN|IND|NOM//nmod//4 1997//RG|NOM//obl//1 omkring//PP//advmod//6 0,2//RG|NOM//nummod//7 TWh//NN|AN//obl//1 .//MAD//punct//1
Vindkraft i Sverige;Elkonsumtionen//NN|UTR|SIN|DEF|NOM//nsubj//12 i//PP//case//11 Sverige//PM|NOM//nmod//9 uppgår//VB|PRS|AKT//conj//1 till//PP//case//16 ca//AB|AN//advmod//15 140//RG|NOM//nummod//16 TWh//NN|UTR|PLU|IND|NOM//obl//12 per//PP//case//18 år//NN|NEU|SIN|IND|NOM//nmod//16 .//MAD//punct//1
Vindkraft i Sverige;Vindkraftverkens//NN|UTR|SIN|DEF|GEN//nmod:poss//21 produktion//NN|UTR|SIN|IND|NOM//nsubj//22 har//VB|PRS|AKT//aux//26 under//PP//case//24 treårsperioden//NN|UTR|SIN|DEF|NOM//nmod//25 1995–1997//NN|UTR|SIN|IND|NOM//obl//26 ökat//VB|SUP|AKT//conj//1 med//PP//case//30 ca//AB|AN//advmod//29 40//RG|NOM//nummod//30 %//NN|AN//obl//26 per//PP//case//32 år//NN|NEU|SIN|IND|NOM//nmod//30 .//MAD//punct//1
Vindkraft i Sverige;År//NN|NEU|SIN|IND|NOM//nmod//35 1998//RG|NOM//obl//1 kommer//VB|PRS|AKT//aux//39 produktionen//NN|UTR|SIN|DEF|NOM//nsubj//39 att//IE//mark//39 bli//VB|INF|AKT//ROOT//39 ca//AB|AN//advmod//41 0,3//RG|NOM//nummod//42 TWh//PM|NOM//xcomp//39 ,//MID//punct//42 vilket//HP|NEU|SIN|IND//nsubj//45 innebär//VB|PRS|AKT//acl:relcl//42 en//DT|UTR|SIN|IND//det//47 ökning//NN|UTR|SIN|IND|NOM//obj//45 med//PP//case//52 mer//AB|KOM//advmod//51 än//KN//fixed//49 45//RG|NOM//nummod//52 %//NN|AN//nmod//47 jämfört//PC|PRF|NEU|SIN|IND|NOM//case//56 med//PP//fixed//53 år//NN|NEU|SIN|IND|NOM//nmod//56 1997//RG|NOM//nmod//47 .//MAD//punct//39
Vindkraft i Sverige;Vindkraftverkens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 storlek//NN|UTR|SIN|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 ökat//VB|SUP|AKT//ROOT//3 snabbt//AB|POS//advmod//3 .//MAD//punct//3
