"""%(/6 /#( +/34.!$%2";Bilagor//NN|UTR|PLU|IND|NOM//ROOT//0


-ILJµV¤RDSBEREDNINGEN;i//PP//ROOT//0
-ILJµV¤RDSBEREDNINGEN;HUVUDBETÄNKANDET//NN|NEU|SIN|DEF|NOM//ROOT//0 )//PAD//punct//0


R IKSANTIKVARIEÄMBETET );i//PP//ROOT//0

Bilaga 2: Naturskydd och naturhänsyn i skogen;(//PAD//punct//1 sammanfattning//NN|UTR|SIN|IND|NOM//ROOT//1 ur//PP//case//5 Skogsstyrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 Meddelande//NN|NEU|SIN|IND|NOM//nmod//5 1-1997//RG|NOM//nmod//1 )//PAD//punct//1
Bilaga 2: Naturskydd och naturhänsyn i skogen;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 i//PP//case//3 Januari//NN|UTR|SIN|IND|NOM//obl//1 1996//RG|NOM//nummod//3 att//IE//mark//6 ge//VB|INF|AKT//acl//3 Skogsstyrelsen//NN|UTR|SIN|DEF|NOM//obj//6 i//PP//case//9 uppdrag//NN|NEU|SIN|IND|NOM//obl//6 att//IE//mark//11 redovisa//VB|INF|AKT//acl//9 ”//PM|NOM//punct//14 dels//KN//advmod//14 omfattningen//NN|UTR|SIN|DEF|NOM//appos//3 och//KN//cc//16 innebörden//NN|UTR|SIN|DEF|NOM//conj//14 av//PP//case//18 biotopskydd//NN|NEU|SIN|IND|NOM//nmod//16 ,//MID//punct//20 naturvårdsavtal//NN|NEU|PLU|IND|NOM//conj//18 och//KN//cc//23 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 avsättningar//NN|UTR|PLU|IND|NOM//conj//18 av//PP//case//25 mark//NN|UTR|SIN|IND|NOM//nmod//23 ,//MID//punct//14 dels//KN//advmod//28 synpunkter//NN|UTR|PLU|IND|NOM//conj//14 på//PP//case//30 regelverket//NN|NEU|SIN|DEF|NOM//nmod//28 m.m.//AB|AN//conj//28 ”//NN|UTR|SIN|IND|NOM//punct//14 Vidare//AB|KOM//conj//14 skulle//VB|PRT|AKT//aux//37 en//DT|UTR|SIN|IND//det//36 bedömning//NN|UTR|SIN|IND|NOM//nsubj:pass//37 göras//VB|INF|SFO//conj//1 av//PP//case//42 hur//HA//advmod//40 stor//JJ|POS|UTR|SIN|IND|NOM//amod//41 areal//NN|UTR|SIN|IND|NOM//amod//42 skogsmark//NN|UTR|SIN|IND|NOM//obl:agent//37 som//HP|-|-|-//obj//45 skogsvårdslagstiftningen//NN|UTR|SIN|DEF|NOM//nsubj//45 undantar//VB|PRS|AKT//acl:relcl//42 av//PP//case//50 naturvårds-//NN|NEU|-|-|SMS//amod//50 och//KN//cc//49 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//47 hänsyn//NN|UTR|PLU|IND|NOM//obl//45 .//MAD//punct//1
