av farligt gods;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 HNS-utredningen//NN|UTR|SIN|DEF|NOM//nmod//0
av farligt gods;Stockholm//PM|NOM//ROOT//0 2006//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 27//RG|NOM//nummod//4 oktober//NN|UTR|SIN|IND|NOM//obl//1 2005//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 ta//VB|INF|AKT//acl//12 fram//PL//compound:prt//14 ett//DT|NEU|SIN|IND//det//17 underlag//NN|NEU|SIN|IND|NOM//obj//14 för//PP//case//19 bedömningen//NN|UTR|SIN|DEF|NOM//nmod//17 av//PP//mark//24 om//SN//mark//24 Sverige//PM|NOM//nsubj//24 bör//VB|PRS|AKT//aux//24 tillträda//VB|INF|AKT//acl//19 1996//RG|NOM//nummod//26 års//NN|NEU|SIN|IND|GEN//nmod:poss//28 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//28 konvention//NN|UTR|SIN|IND|NOM//obj//24 om//PP//case//30 ansvar//NN|NEU|SIN|IND|NOM//nmod//28 och//KN//cc//32 ersättning//NN|UTR|SIN|IND|NOM//conj//30 för//PP//case//34 skada//NN|UTR|SIN|IND|NOM//obl//24 i//PP//case//38 samband//NN|NEU|SIN|IND|NOM//fixed//35 med//PP//fixed//35 sjötransport//NN|UTR|SIN|IND|NOM//nmod//34 av//PP//case//43 farliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 och//KN//cc//42 skadliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//40 ämnen//NN|NEU|PLU|IND|NOM//nmod//34 (//PAD//punct//43 HNS-konventionen//NN|UTR|SIN|DEF|NOM//appos//43 )//PAD//punct//4 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Den//DT|UTR|SIN|DEF//det//2 27//RG|NOM//nummod//2 oktober//NN|UTR|SIN|IND|NOM//obl//4 2005//RG|NOM//nummod//2 förordnade//VB|PRT|AKT//ROOT//4 chefen//NN|UTR|SIN|DEF|NOM//nsubj//4 för//PP//case//7 Justitiedepartementet//PM|NOM//nmod//5 ,//MID//punct//9 statsrådet//NN|NEU|SIN|DEF|NOM//appos//5 Bodström//PM|NOM//nummod//9 ,//MID//punct//10 hovrättslagmannen//NN|UTR|SIN|DEF|NOM//nmod//13 Magnus//PM|NOM//nmod//9 Göransson//PM|NOM//flat:name//13 till//PP//case//17 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//17 utredare//NN|UTR|SIN|IND|NOM//nmod//9 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Den//DT|UTR|SIN|DEF//det//2 9//RO|NOM//nummod//2 november//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2005//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 som//KN//mark//6 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//8 utredningen//NN|UTR|SIN|DEF|NOM//nmod//6 avdelningsdirektören//NN|UTR|SIN|DEF|NOM//nmod//10 Margareta//PM|NOM//obl//4 Appelberg//PM|NOM//flat:name//10 ,//MID//punct//13 Naturvårdsverket//NN|NEU|SIN|DEF|NOM//conj//10 ,//MID//punct//16 ämnessakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//16 Karin//PM|NOM//conj//10 Berkestad//PM|NOM//flat:name//16 ,//MID//punct//16 Miljö-//NN|UTR|-|-|SMS//conj//10 och//KN//cc//21 samhällsbyggnadsdepartementet//NN|NEU|PLU|IND|NOM//conj//19 ,//MID//punct//10 toxikologen//NN|UTR|SIN|DEF|NOM//nmod//24 Lennart//PM|NOM//appos//10 Dock//AB//nmod//10 ,//MID//punct//27 Kemikalieinspektionen//NN|UTR|SIN|DEF|NOM//conj//10 ,//MID//punct//29 handläggaren//NN|UTR|SIN|DEF|NOM//nmod//30 Margaretha//PM|NOM//conj//10 Ericsson//PM|NOM//flat:name//30 ,//MID//punct//33 Räddningsverket//NN|NEU|SIN|DEF|NOM//conj//10 ,//MID//punct//10 sjökaptenen//NN|UTR|SIN|DEF|NOM//nmod//36 Anders//PM|NOM//appos//10 Holmberg//PM|NOM//flat:name//36 ,//MID//punct//41 Sveriges//PM|GEN//nmod:poss//40 Ångfartygs//PM|GEN//nmod:poss//41 Assuransförening//NN|UTR|SIN|IND|NOM//conj//10 ,//MID//punct//41 rättssakkunnige//JJ|POS|MAS|SIN|DEF|NOM//amod//44 Per//PM|NOM//appos//10 Håvik//PM|NOM//flat//44 ,//MID//punct//47 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//conj//44 ,//MID//punct//47 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//50 Sofia//PM|NOM//appos//10 Karlsson//PM|NOM//flat:name//50 ,//MID//punct//53 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//conj//50 ,//MID//punct//53 direktören//NN|UTR|SIN|DEF|NOM//nmod//56 Håkan//PM|NOM//conj//10 Kristiansson//PM|NOM//flat:name//56 ,//MID//punct//10 Akzo//PM|NOM//conj//10 Nobel//PM|NOM//nmod:poss//61 Surface//PM|NOM//compound//62 Chemistry//PM|NOM//compound//63 AB//PM|NOM//flat//59 ,//MID//punct//10 stf//NN|AN//conj//10 .//MAD//punct//10
Till statsrådet och chefen för Justitiedepartementet;sjösäkerhetsdirektören//NN|UTR|SIN|DEF|NOM//nmod//68 Per//PM|NOM//appos//10 Nordström//PM|NOM//flat:name//68 ,//MID//punct//68 Sjöfartsverket//NN|NEU|SIN|DEF|NOM//amod//74 ,//MID//punct//71 verkställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//74 direktören//NN|UTR|SIN|DEF|NOM//nmod//75 Ulf//PM|NOM//dep//68 Svahn//PM|NOM//flat:name//75 ,//MID//punct//75 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//79 Petroleum//PM|NOM//nmod//80 Institutet//NN|NEU|SIN|DEF|NOM//conj//68 ,//MID//punct//80 verksjuristen//NN|UTR|SIN|DEF|NOM//nmod//83 Annika//PM|NOM//compound//85 W.//PM|NOM//flat:name//83 Wikingsson//PM|NOM//dep//68 ,//MID//punct//87 Kustbevakningen//NN|UTR|SIN|DEF|NOM//conj//68 ,//MID//punct//68 och//KN//cc//91 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//91 Patrik//PM|NOM//conj//10 Örnsved//PM|NOM//flat:name//91 ,//MID//punct//92 Justitiedepartementet//PM|NOM//conj//91 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 anställdes//VB|PRT|SFO//ROOT//4 fr.o.m.//AB|AN//case//8 den//DT|UTR|SIN|DEF//det//8 1//RO|NOM//nummod//8 november//NN|UTR|SIN|IND|NOM//obl//4 2005//RG|NOM//nummod//10 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//8 Anna//PM|NOM//flat:name//10 Täcklind//PM|NOM//conj//10 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//10 ,//MID//punct//0 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//6 HNS-utredningen//NN|UTR|SIN|DEF|NOM//obj//4 ,//MID//punct//0 får//VB|PRS|AKT//aux//10 härmed//AB//advmod//10 överlämna//VB|INF|AKT//ROOT//10 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//12 Skadeståndsansvar//NN|NEU|SIN|IND|NOM//obj//10 vid//PP//case//14 sjötransport//NN|UTR|SIN|IND|NOM//obl//10 av//PP//case//17 farligt//JJ|POS|NEU|SIN|IND|NOM//amod//17 gods//NN|NEU|SIN|IND|NOM//nmod//14  //_SP////17 (//PAD//punct//10 SOU//PM|NOM//appos//10 2006:92//RG|NOM//nummod//20 )//PAD//punct//10 .//MAD//punct//10
Till statsrådet och chefen för Justitiedepartementet;Utredningsuppdraget//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 härmed//AB//advmod//3 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 oktober//NN|UTR|SIN|IND|NOM//obl//0 2006//RG|NOM//punct//0
