Ny instansordning för va-målen ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Va-nämndsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Ny instansordning för va-målen ;Stockholm//PM|NOM//ROOT//0 2011//RG|NOM//nummod//0

Till statsrådet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 vid//PP//case//4 sitt//PS|NEU|SIN|DEF//nmod:poss//4 sammanträde//NN|NEU|SIN|IND|NOM//obl//1 den//DT|UTR|SIN|DEF//det//7 9//RO|NOM//nummod//7 december//NN|UTR|SIN|IND|NOM//obl//1 2010//RG|NOM//nummod//7 att//IE//mark//10 tillkalla//VB|INF|AKT//acl//7 en//DT|UTR|SIN|IND//det//13 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//13 utredare//NN|UTR|SIN|IND|NOM//obj//10 med//PP//case//15 uppgift//NN|UTR|SIN|IND|NOM//obl//10 att//IE//mark//17 analysera//VB|INF|AKT//xcomp//10 verksamheten//NN|UTR|SIN|DEF|NOM//obj//17 vid//PP//case//21 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//21 va-nämnd//NN|UTR|SIN|IND|NOM//obl//17 och//KN//cc//23 utreda//VB|INF|AKT//conj//17 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//23 för//PP//mark//41 att//SN//mark//41 de//DT|UTR/NEU|PLU|DEF//det//29 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 mark-//NN|UTR|-|-|SMS//nsubj//41 och//KN//cc//31 miljödomstolarna//NN|UTR|PLU|DEF|NOM//conj//29 eller//KN//cc//34 annan//JJ|POS|UTR|SIN|IND|NOM//amod//34 domstol//NN|UTR|SIN|IND|NOM//conj//29 jämte//PP//case//39 en//RG|UTR|SIN|IND|NOM//det//39 eller//KN//cc//38 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//conj//36 länsstyrelser//NN|UTR|PLU|IND|NOM//nmod//34 kan//VB|PRS|AKT//aux//41 överta//VB|INF|AKT//advcl//23 nämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//43 prövning//NN|UTR|SIN|IND|NOM//obj//41 enligt//PP//case//45 lagen//NN|UTR|SIN|DEF|NOM//obl//41 (//PAD//punct//47 2006:412//RG|NOM//appos//45 )//PAD//punct//47 om//PP//case//51 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 vattentjänster//NN|UTR|PLU|IND|NOM//obl//41 .//MAD//punct//1
Till statsrådet;Statsrådet//NN|NEU|SIN|DEF|NOM//nmod//1 Stefan//PM|NOM//nsubj//3 Attefall//PM|NOM//flat//1 förordnade//VB|PRT|AKT//ROOT//3 samma//DT|UTR/NEU|SIN/PLU|IND//det//5 dag//NN|UTR|SIN|IND|NOM//nmod//7 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 ordföranden//NN|UTR|SIN|DEF|NOM//obj//3 vid//PP//case//11 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 va-nämnd//NN|UTR|SIN|IND|NOM//nmod//11 Stefan//PM|NOM//nmod//7 Rubenson//PM|NOM//flat//11 som//KN//mark//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//obl//3 för//PP//case//18 detta//DT|NEU|SIN|DEF//det//18 uppdrag//NN|NEU|SIN|IND|NOM//nmod//15 .//MAD//punct//3
Till statsrådet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 från//PP//case//10 och//KN//cc//10 med//PP//case//10 den//DT|UTR|SIN|DEF//det//10 15//RG|NOM//nummod//10 februari//NN|UTR|SIN|IND|NOM//nmod//13 2011//RG|NOM//nummod//12 rådmannen//NN|UTR|SIN|DEF|NOM//nmod//13 Anders//PM|NOM//nmod//48 Enroth//PM|NOM//flat:name//13 ,//MID//punct//16 Mark-//PM|SMS//conj//13 och//KN//cc//18 miljödomstolen//NN|UTR|SIN|DEF|NOM//conj//13 vid//PP//case//21 Nacka//PM|GEN//amod//21 tingsrätt//NN|UTR|SIN|IND|NOM//nmod//13 ,//MID//punct//13 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//24 Ivar//PM|NOM//appos//13 Frostenson//PM|NOM//flat:name//24 ,//MID//punct//24 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//13 ,//MID//punct//13 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//30 Lars-Ove//PM|NOM//appos//13 Olsson//PM|NOM//flat:name//30 ,//MID//punct//13 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//13 i//PP//case//36 Värmlands//PM|GEN//nmod:poss//36 län//NN|NEU|SIN|IND|NOM//nmod//33 ,//MID//punct//13 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//39 Germund//PM|NOM//appos//13 Persson//PM|NOM//flat:name//39 ,//MID//punct//43 Sveriges//PM|GEN//nmod:poss//43 Kommuner//NN|UTR|PLU|IND|NOM//conj//13 och//KN//cc//45 Landsting//PM|NOM//conj//43 och//KN//cc//47 kanslirådet//NN|NEU|SIN|DEF|NOM//conj//13 Jens//PM|NOM//nsubj:pass//4 Wieslander//PM|NOM//flat:name//48 ,//MID//punct//51 Justitiedepartementet//PM|NOM//conj//48 .//MAD//punct//4
Till statsrådet;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//nsubj:pass//2 anställdes//VB|PRT|SFO//ROOT//2 från//PP//case//8 och//KN//fixed//3 med//PP//fixed//3 den//DT|UTR|SIN|DEF//det//8 15//RG|NOM//nummod//8 december//NN|UTR|SIN|IND|NOM//nmod//11 2010//RG|NOM//nummod//10 kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//11 Ulla//PM|NOM//dep//2 Jarnås//PM|NOM//flat:name//11 .//MAD//punct//2
Till statsrådet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Va-nämndsutredningen//NN|UTR|SIN|DEF|NOM//obj//2 .//MID//punct//2
Till statsrådet;Härmed//AB//advmod//7 överlämnas//VB|PRS|SFO//parataxis//2 betänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//7 Ny//JJ|POS|UTR|SIN|IND|NOM//amod//10 instansordning//NN|UTR|SIN|IND|NOM//obj//7 för//PP//case//12 vamålen//NN|UTR|SIN|DEF|NOM//nmod//10 (//PAD//punct//10 SOU//PM|NOM//appos//10 2011:53//RG|NOM//nummod//14 )//PAD//punct//10 .//MAD//punct//21
Till statsrådet;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//21 är//VB|PRS|AKT//cop//21 därmed//AB//advmod//21 slutfört//PC|PRF|NEU|SIN|IND|NOM//conj//2 .//MAD//punct//2
Till statsrådet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 juni//NN|UTR|SIN|IND|NOM//obl//0 2011//RG|NOM//nummod//2
