Romers rätt;–//RG|NOM//punct//2 en//DT|UTR|SIN|IND//det//2 strategi//NN|UTR|SIN|IND|NOM//ROOT//2 för//PP//case//4 romer//NN|UTR|PLU|IND|NOM//nmod//2 i//PP//case//6 Sverige//PM|NOM//nmod//4

Ett lands behandling av dess romska befolkning är ett lackmustest för det civila samhället och dess demokrati;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Delegationen//NN|UTR|SIN|DEF|NOM//nmod//0 för//PP//case//5 romska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 frågor//NN|UTR|PLU|IND|NOM//nmod//2
Ett lands behandling av dess romska befolkning är ett lackmustest för det civila samhället och dess demokrati;Stockholm//PM|NOM//ROOT//0 2010//RG|NOM//nummod//0

Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 14//RG|NOM//nummod//4 september//NN|UTR|SIN|IND|NOM//obl//1 2006//RG|NOM//nummod//4 att//IE//mark//7 inrätta//VB|INF|AKT//xcomp//1 Delegationen//NN|UTR|SIN|DEF|NOM//obj//7 för//PP//case//11 romska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 frågor//NN|UTR|PLU|IND|NOM//obl//7 för//PP//mark//31 att//IE//mark//31 med//PP//case//19 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//14 i//PP//fixed//14 Sveriges//PM|GEN//nmod:poss//19 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 åtaganden//NN|NEU|PLU|IND|NOM//obl//31 om//PP//mark//22 att//IE//mark//22 skydda//VB|INF|AKT//acl//19 och//KN//cc//24 främja//VB|INF|AKT//conj//22 de//DT|UTR/NEU|PLU|DEF//det//27 mänskliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 rättigheterna//NN|UTR|PLU|DEF|NOM//obj//24 ,//MID//punct//31 vara//VB|INF|AKT//cop//31 nationellt//AB|POS//advmod//31 pådrivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//7 i//PP//case//33 arbetet//NN|NEU|SIN|DEF|NOM//obl//31 med//PP//mark//36 att//IE//mark//36 förbättra//VB|INF|AKT//advcl//31 romers//NN|UTR|PLU|IND|GEN//nmod:poss//38 situation//NN|UTR|SIN|IND|NOM//obj//36 i//PP//case//40 Sverige//PM|NOM//obl//36 .//MAD//punct//1
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;I//PP//case//44 Delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//44 uppdrag//NN|NEU|SIN|IND|NOM//obl//45 ingick//VB|PRT|AKT//parataxis//1 att//IE//mark//47 utreda//VB|INF|AKT//xcomp//45 romers//NN|UTR|PLU|IND|GEN//nmod:poss//49 situation//NN|UTR|SIN|IND|NOM//obj//47 i//PP//case//51 Sverige//PM|NOM//obl//47 genom//PP//mark//54 att//IE//mark//54 inhämta//VB|INF|AKT//advcl//47 ,//MID//punct//56 sammanställa//VB|INF|AKT//conj//54 ,//MID//punct//58 analysera//VB|INF|AKT//conj//54 och//KN//cc//60 redovisa//VB|INF|AKT//conj//54 erfarenheter//NN|UTR|PLU|IND|NOM//obj//54 och//KN//cc//63 kunskap//NN|UTR|SIN|IND|NOM//conj//61 som//HP|-|-|-//nsubj//65 finns//VB|PRS|SFO//acl:relcl//63 på//PP//case//67 området//NN|NEU|SIN|DEF|NOM//obl//65 samt//KN//cc//69 lämna//VB|INF|AKT//conj//45 förslag//NN|NEU|SIN|IND|NOM//obj//69 på//PP//mark//79 hur//HA//advmod//79 romers//NN|UTR|PLU|IND|GEN//nmod:poss//74 livsvillkor//NN|NEU|PLU|IND|NOM//nsubj:pass//79 i//PP//case//76 samhället//NN|NEU|SIN|DEF|NOM//nmod//74 ska//VB|PRS|AKT//aux//79 kunna//VB|INF|AKT//aux//79 förbättras//VB|INF|SFO//acl//70 .//MAD//punct//1
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//85 hade//VB|PRT|AKT//aux//85 också//AB//advmod//85 i//PP//case//85 uppdrag//NN|NEU|SIN|IND|NOM//parataxis//1 att//IE//mark//87 främja//VB|INF|AKT//acl//85 och//KN//cc//89 stödja//VB|INF|AKT//conj//87 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//91 projekt//NN|NEU|PLU|IND|NOM//obj//89 och//KN//cc//93 verksamheter//NN|UTR|PLU|IND|NOM//conj//91 som//HP|-|-|-//nsubj//95 syftar//VB|PRS|AKT//acl:relcl//93 till//PP//mark//98 att//IE//mark//98 förbättra//VB|INF|AKT//advcl//95 romers//NN|UTR|PLU|IND|GEN//nmod:poss//100 situation//NN|UTR|SIN|IND|NOM//obj//98 .//MAD//punct//85
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Slutligen//AB//advmod//105 skulle//VB|PRT|AKT//aux//105 delegationen//NN|UTR|SIN|DEF|NOM//nsubj//105 informera//VB|INF|AKT//conj//1 och//KN//cc//107 sprida//VB|INF|AKT//conj//105 kunskap//NN|UTR|SIN|IND|NOM//obj//107 om//PP//case//110 romer//NN|UTR|PLU|IND|NOM//nmod//108 och//KN//cc//113 romers//NN|UTR|PLU|IND|GEN//nmod:poss//113 situation//NN|UTR|SIN|IND|NOM//conj//110 i//PP//case//115 Sverige//PM|NOM//nmod//110 samt//KN//cc//117 uppmuntra//VB|INF|AKT//conj//105 kunskaps-//NN|UTR|-|-|SMS//obj//117 och//KN//cc//120 erfarenhetsutbyte//NN|NEU|SIN|IND|NOM//conj//118 mellan//PP//case//123 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//123 myndigheter//NN|UTR|PLU|IND|NOM//obl//117 och//KN//cc//125 kommuner//NN|UTR|PLU|IND|NOM//conj//123 .//MAD//punct//105
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 13//RG|NOM//nummod//2 december//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2006//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 som//KN//mark//7 ordförande//NN|UTR|SIN|IND|NOM//amod//7 demokratiambassadör//NN|UTR|SIN|DEF|NOM//nmod//8 Maria//PM|NOM//nsubj//4 Leissner//PM|NOM//flat:name//8 .//MAD//punct//4
Till statsrådet och chefen för Integrations- och jämställdhetsdepartementet;Den//DT|UTR|SIN|DEF//det//2 15//RG|NOM//nummod//2 januari//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2007//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 som//KN//mark//7 ledamöter//NN|UTR|PLU|IND|NOM//nmod//7 kulturarbetaren//NN|UTR|SIN|DEF|NOM//compound//9 Hans//PM|NOM//nmod:poss//9 Caldaras//PM|NOM//nsubj:pass//4 ,//MID//punct//12 länspolismästaren//NN|UTR|SIN|DEF|NOM//nmod//12 Gunno//PM|NOM//dep//4 Gunnmo//PM|NOM//flat:name//12 ,//MID//punct//12 särskilde//PC|PRF|MAS|SIN|DEF|NOM//amod//16 utredaren//NN|UTR|SIN|DEF|NOM//nmod//17 Göran//PM|NOM//appos//12 Johansson//PM|NOM//flat:name//17 ,//MID//punct//17 jur.//NN|AN//nmod//21 dr//NN|AN//appos//17 .//MAD//punct//12
