Utvärdering av utvecklingssamarbetet med Central- och Östeuropa;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 tillsatte//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 31//RG|NOM//nummod//4 maj//NN|UTR|SIN|IND|NOM//obj//1 2000//RG|NOM//nummod//4 en//DT|UTR|SIN|IND//det//7 Utredning//NN|UTR|SIN|IND|NOM//obj//1 om//PP//case//9 samarbetet//NN|NEU|SIN|DEF|NOM//nmod//7 med//PP//case//11 Central-//PM|SMS//nmod//9 och//KN//cc//13 Östeuropa//PM|NOM//conj//11 ,//MID//punct//11 Dir//NN|AN//conj//11 .//MAD//punct//1
Utvärdering av utvecklingssamarbetet med Central- och Östeuropa;2000:39//RG|NOM//punct//1 .//MID//punct//1
Utvärdering av utvecklingssamarbetet med Central- och Östeuropa;Föreliggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 utvärdering//NN|UTR|SIN|IND|NOM//nsubj:pass//29 ,//MID//punct//20 som//HP|-|-|-//nsubj//25 är//VB|PRS|AKT//cop//25 en//DT|UTR|SIN|IND//det//25 del//NN|UTR|SIN|IND|NOM//acl:relcl//20 av//PP//case//27 utredningen//NN|UTR|SIN|DEF|NOM//nmod//25 ,//MID//punct//20 presenteras//VB|PRS|SFO//parataxis//1 som//KN//case//32 en//DT|UTR|SIN|IND//det//32 bakgrundsrapport//NN|UTR|SIN|IND|NOM//obl//29 till//PP//case//35 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//35 huvudrapport//NN|UTR|SIN|IND|NOM//obl//29 .//MAD//punct//1
Utvärdering av utvecklingssamarbetet med Central- och Östeuropa;Utvärderingen//NN|UTR|SIN|DEF|NOM//nsubj//1 bygger//VB|PRS|AKT//ROOT//1 bl.a.//AB|AN//advmod//1 på//PP//case//8 en//DT|UTR|SIN|IND//det//5 serie//NN|UTR|SIN|IND|NOM//nmod//8 tidigare//AB|KOM//advmod//7 gjorda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//8 utvärderingar//NN|UTR|PLU|IND|NOM//obl//1 av//PP//case//10 projekt//NN|NEU|PLU|IND|NOM//nmod//8 och//KN//cc//12 program//NN|NEU|SIN|IND|NOM//conj//10 ,//MID//punct//17 samt//KN//cc//17 på//PP//case//17 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 studier//NN|UTR|PLU|IND|NOM//obl//1 inom//PP//case//19 området//NN|NEU|SIN|DEF|NOM//nmod//17 .//MID//punct//1
Utvärdering av utvecklingssamarbetet med Central- och Östeuropa;Detta//DT|NEU|SIN|DEF//det//22 underlag//NN|NEU|SIN|IND|NOM//nsubj:pass//23 bifogas//VB|PRS|SFO//parataxis//1 utvärderingen//NN|UTR|SIN|DEF|NOM//nsubj:pass//23 i//PP//case//26 sammandrag//NN|NEU|SIN|IND|NOM//obl//23 .//MAD//punct//23
Utvärdering av utvecklingssamarbetet med Central- och Östeuropa;Som//KN//mark//30 ett//DT|NEU|SIN|IND//det//30 led//NN|NEU|SIN|IND|NOM//advcl//23 i//PP//case//32 utvärderingen//NN|UTR|SIN|DEF|NOM//obl//30 har//VB|PRS|AKT//aux//37 också//AB//advmod//33 en//DT|UTR|SIN|IND//det//36 databas//NN|UTR|SIN|IND|NOM//nsubj:pass//37 producerats//VB|SUP|SFO//conj//23 ,//MID//punct//39 innehållande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//37 alla//DT|UTR/NEU|PLU|IND/DEF//det//41 insatsbeslut//NN|NEU|PLU|IND|NOM//obl//37 under//PP//case//43 1998//RG|NOM//nmod//41 och//KN//cc//45 1999//RG|NOM//conj//43 .//MAD//punct//1
Utvärdering av utvecklingssamarbetet med Central- och Östeuropa;En//DT|UTR|SIN|IND//det//48 bilaga//NN|UTR|SIN|IND|NOM//nsubj//51 till//PP//case//50 utvärderingsrapporten//NN|UTR|SIN|DEF|NOM//nmod//48 redovisar//VB|PRS|AKT//parataxis//1 insatserna//NN|UTR|PLU|DEF|NOM//nsubj//51 i//PP//case//54 länderna//NN|NEU|PLU|DEF|NOM//nmod//52 i//PP//case//57 Sveriges//PM|GEN//nmod:poss//57 närområde//NN|NEU|SIN|IND|NOM//nmod//54 .//MAD//punct//1
Utvärdering av utvecklingssamarbetet med Central- och Östeuropa;Krister//PM|NOM//ROOT//0 Eduards//PM|NOM//flat//0

ORD- OCH FÖRKORTNINGSLISTA;Lantbrukarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//1 Riksförbund//NN|NEU|SIN|IND|NOM//ROOT//1
ORD- OCH FÖRKORTNINGSLISTA;LRF//PM|NOM//nmod//3 miljoner//NN|UTR|PLU|IND|NOM//nmod//3 danska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 kronor//NN|UTR|PLU|IND|NOM//ROOT//3
