Sammanfattning;Nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 apoteksmarknadsutredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 haft//VB|SUP|AKT//ROOT//3 i//PP//compound:prt//3 uppdrag//NN|NEU|SIN|IND|NOM//fixed//4 att//IE//punct//3
Sammanfattning;•//NN|UTR|SIN|IND|NOM//nsubj//1 se//VB|INF|AKT//ROOT//1 över//PL//case//3 marknaden//NN|UTR|SIN|DEF|NOM//obl//1 och//KN//cc//5 regelverket//NN|NEU|SIN|DEF|NOM//conj//3 för//PP//case//8 maskinell//JJ|POS|UTR|SIN|IND|NOM//amod//8 dosdispensering//NN|UTR|SIN|IND|NOM//nmod//5
Sammanfattning;•//NN|UTR|SIN|IND|NOM//nsubj//1 lämna//VB|INF|AKT//ROOT//1 förslag//NN|NEU|SIN|IND|NOM//obj//1 till//PP//case//8 en//DT|UTR|SIN|IND//det//8 effektiv//JJ|POS|UTR|SIN|IND|NOM//amod//8 och//KN//cc//7 patientsäker//JJ|POS|UTR|SIN|IND|NOM//conj//5 distribution//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//10 prövningsläkemedel//NN|NEU|SIN|IND|NOM//nmod//8 till//PP//case//12 försökspersoner//NN|UTR|PLU|IND|NOM//nmod//10 och//KN//cc//14 prövningsställen//NN|NEU|PLU|IND|NOM//conj//12
Sammanfattning;•//NN|UTR|SIN|IND|NOM//nsubj//1 se//VB|INF|AKT//ROOT//1 över//PL//case//3 marknaden//NN|UTR|SIN|DEF|NOM//obl//1 och//KN//cc//5 regelverket//NN|NEU|SIN|DEF|NOM//conj//3 för//PP//case//7 extemporeläkemedel//NN|NEU|PLU|IND|NOM//nmod//5 och//KN//cc//9 lagerberedningar//NN|UTR|PLU|IND|NOM//conj//7
Sammanfattning;•//NN|UTR|SIN|IND|NOM//nsubj//1 lämna//VB|INF|AKT//ROOT//1 förslag//NN|NEU|SIN|IND|NOM//obj//1 som//HP|-|-|-//nsubj//4 möjliggör//VB|PRS|AKT//acl:relcl//2 för//PP//case//6 sjukhusapotek//NN|NEU|SIN|IND|NOM//obl//4 att//IE//mark//8 ansöka//VB|INF|AKT//advcl//4 om//PP//case//10 licens//NN|UTR|SIN|IND|NOM//obl//8 för//PP//case//12 läkemedel//NN|NEU|PLU|IND|NOM//nmod//10 via//PP//case//16 den//DT|UTR|SIN|DEF//det//16 elektroniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 kommunikationslösningen//NN|UTR|SIN|DEF|NOM//nmod//12 för//PP//case//18 licensansökan//NN|UTR|SIN|IND|NOM//nmod//16 .//MAD//punct//1
Sammanfattning;Detta//DT|NEU|SIN|DEF//det//1 slutbetänkande//NN|NEU|SIN|IND|NOM//nsubj//2 utgör//VB|PRS|AKT//ROOT//2 redovisning//NN|UTR|SIN|IND|NOM//obj//2 av//PP//case//6 dessa//DT|UTR/NEU|PLU|DEF//det//6 frågor//NN|UTR|PLU|IND|NOM//nmod//3 .//MAD//punct//2
Sammanfattning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//11 har//VB|PRS|AKT//aux//11 tidigare//AB|KOM//advmod//11 lämnat//VB|SUP|AKT//conj//2 betänkandena//NN|NEU|PLU|DEF|NOM//obj//11 Kvalitet//NN|UTR|SIN|IND|NOM//obj//11 och//KN//cc//15 säkerhet//NN|UTR|SIN|IND|NOM//conj//13 på//PP//case//17 apoteksmarknaden//NN|UTR|SIN|DEF|NOM//nmod//15 (//PAD//punct//11 SOU//PM|NOM//appos//11 2017:15//RG|NOM//nmod//19 )//PAD//punct//11 och//KN//cc//25  //_SP////22 Enhetliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 priser//NN|NEU|PLU|IND|NOM//conj//11 på//PP//case//28 receptbelagda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//28 läkemedel//NN|NEU|PLU|IND|NOM//nmod//25 (//PAD//punct//28 SOU//PM|NOM//appos//28 2017:76//RG|NOM//nummod//30 )//PAD//punct//25 .//MAD//punct//2

Maskinell dosdispensering Maskinellt dosdispenserade läkemedel används av 200 000 patienter;Maskinell//JJ|POS|UTR|SIN|IND|NOM//amod//1 dosdispensering//NN|UTR|SIN|IND|NOM//nsubj//2 innebär//VB|PRS|AKT//ROOT//2 att//SN//mark//7 tabletter//NN|UTR|PLU|IND|NOM//nsubj:pass//7 och//KN//cc//6 kapslar//NN|UTR|PLU|IND|NOM//conj//4 tas//VB|PRS|SFO//ccomp//2 ur//PP//case//10 läkemedlens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 originalförpackningar//NN|UTR|PLU|IND|NOM//obl//7 och//KN//cc//12 ompaketeras//VB|PRS|SFO//conj//7 maskinellt//AB|POS//advmod//12 till//PP//case//16 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//16 dospåsar//NN|UTR|PLU|IND|NOM//obl//12 för//PP//case//19 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 patienter//NN|UTR|PLU|IND|NOM//nmod//16 .//MAD//punct//2
Maskinell dosdispensering Maskinellt dosdispenserade läkemedel används av 200 000 patienter;Varje//DT|UTR/NEU|SIN|IND//det//22 dospåse//NN|UTR|SIN|IND|NOM//nsubj//23 innehåller//VB|PRS|AKT//parataxis//2 de//DT|UTR/NEU|PLU|DEF//det//25 läkemedel//NN|NEU|PLU|IND|NOM//obj//23 som//HP|-|-|-//obj//30 en//DT|UTR|SIN|IND//det//28 patient//NN|UTR|SIN|IND|NOM//nsubj//30 ska//VB|PRS|AKT//aux//30 ta//VB|INF|AKT//acl:relcl//25 vid//PP//case//34 ett//DT|NEU|SIN|IND//det//34 visst//JJ|POS|NEU|SIN|IND|NOM//amod//34 tillfälle//NN|NEU|SIN|IND|NOM//obl//30 .//MAD//punct//23
Maskinell dosdispensering Maskinellt dosdispenserade läkemedel används av 200 000 patienter;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//42 med//PP//case//39 dosdispenserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//39 läkemedel//NN|NEU|PLU|IND|NOM//nmod//36 är//VB|PRS|AKT//cop//42 att//IE//mark//42 underlätta//VB|INF|AKT//parataxis//23 läkemedelshanteringen//NN|UTR|SIN|DEF|NOM//obj//42 för//PP//case//45 patienter//NN|UTR|PLU|IND|NOM//nmod//43 och//KN//cc//47 vårdpersonal//NN|UTR|SIN|IND|NOM//conj//45 .//MAD//punct//23
