Till statsrådet Maj-Inger Klingvall ;"Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 18//RG|NOM//nummod//4 december//NN|UTR|SIN|IND|NOM//obl//6 1997//RG|NOM//nummod//4 bemyndigade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 statsrådet//NN|NEU|SIN|DEF|NOM//obj//6 Maj-Inger//PM|NOM//nsubj//6 Klingvall//PM|NOM//flat:name//9 att//IE//mark//12 utse//VB|INF|AKT//acl//9 en//DT|UTR|SIN|IND//det//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//obj//12 med//PP//case//17 uppdrag//NN|NEU|SIN|IND|NOM//obl//12 att//IE//mark//19 lämna//VB|INF|AKT//acl//17 förslag//NN|NEU|SIN|IND|NOM//obj//19 till//PP//case//22 konstruktion//NN|UTR|SIN|IND|NOM//nmod//20 av//PP//case//25 övergångsvis//AB//amod//25 garantipension//NN|UTR|SIN|IND|NOM//nmod//22 för//PP//case//28 de//DT|UTR/NEU|PLU|DEF//det//28 ålderspensionärer//NN|UTR|PLU|IND|NOM//obl//19 som//HP|-|-|-//nsubj:pass//33 inte//AB//advmod//33 kommer//VB|PRS|AKT//aux//33 att//IE//mark//33 omfattas//VB|INF|SFO//acl:relcl//28 av//PP//case//35 regelsystemet//NN|NEU|SIN|DEF|NOM//obl//33 för//PP//case//37 garantipension//NN|UTR|SIN|IND|NOM//nmod//35 inom//PP//case//41 den//DT|UTR|SIN|DEF//det//41 reformerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//41 ålderspensioneringen//NN|UTR|SIN|DEF|NOM//nmod//37 ;//MID//punct//6"
Till statsrådet Maj-Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//parataxis//6 (//PAD//punct//43 S//PM|NOM//appos//43 1997:24//RG|NOM//flat//45 )//PAD//punct//43 om//PP//mark//54 utformningen//NN|UTR|SIN|DEF|NOM//nsubj//54 av//PP//case//51 garantipension//NN|UTR|SIN|IND|NOM//nmod//49 för//PP//case//53 ålderspensionärer//NN|UTR|PLU|IND|NOM//nmod//51 födda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//6 år//NN|NEU|SIN|IND|NOM//nmod//56 1937//RG|NOM//obl//54 eller//KN//cc//58 tidigare//AB|KOM//conj//54 .//MAD//punct//6
Till statsrådet Maj-Inger Klingvall ;Med//PP//case//61 stöd//NN|NEU|SIN|IND|NOM//obl//65 av//PP//case//64 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//64 bemyndigande//NN|NEU|SIN|IND|NOM//nmod//61 förordnades//VB|PRT|SFO//conj//6 den//DT|UTR|SIN|DEF//det//68 9//RO|NOM//nummod//68 februari//NN|UTR|SIN|IND|NOM//obl//65 1998//RG|NOM//nummod//68 f.d.//JJ|AN//xcomp//6 kanslichefen//NN|UTR|SIN|DEF|NOM//nmod//72 Siv//PM|NOM//obj//70 Helmer//PM|NOM//flat:name//72 till//PP//case//76 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//76 utredare//NN|UTR|SIN|IND|NOM//obl//70 .//MAD//punct//6
Till statsrådet Maj-Inger Klingvall ;Den//DT|UTR|SIN|DEF//det//2 26//RG|NOM//nummod//2 februari//NN|UTR|SIN|IND|NOM//nsubj:pass//4 1998//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 som//KN//mark//6 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//4 i//PP//case//8 utredningen//NN|UTR|SIN|DEF|NOM//nmod//6 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 i//PP//case//12 Socialdepartementet//NN|NEU|SIN|DEF|NOM//obl//4 ,//MID//punct//4 numera//AB//advmod//16 avdelningsdirektören//NN|UTR|SIN|DEF|NOM//nmod//16 Gudrun//PM|NOM//parataxis//4 Ehnsson//PM|NOM//flat:name//16 ,//MID//punct//19 Riksförsäkringsverket//NN|NEU|SIN|DEF|NOM//conj//16 ,//MID//punct//21 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//conj//16 ,//MID//punct//16 numera//AB//advmod//24 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//25 Marianne//PM|NOM//conj//16 Jenryd//PM|NOM//flat:name//25 ,//MID//punct//28 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//25 ,//MID//punct//28 kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//31 Ulf//PM|NOM//conj//25 Rehnberg//PM|NOM//flat:name//31 ,//MID//punct//34 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//25 ,//MID//punct//34 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 kanslirådet//NN|NEU|SIN|DEF|NOM//conj//25 numera//AB//advmod//40 departementsrådet//NN|NEU|SIN|DEF|NOM//nmod//40 Urban//PM|NOM//flat:name//25 Hansson-Brusewitz//PM|NOM//flat:name//40 ,//MID//punct//43 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//40 och//KN//cc//45 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//46 Joakim//PM|NOM//conj//40 Sonnegård//PM|NOM//flat:name//46 ,//MID//punct//49 Statsrådsberedningen//NN|UTR|SIN|DEF|NOM//conj//40 .//MAD//punct//4
Till statsrådet Maj-Inger Klingvall ;Genom//PP//case//52 beslut//NN|NEU|SIN|IND|NOM//obl//57 den//DT|UTR|SIN|DEF//det//55 26//RG|NOM//nummod//55 augusti//NN|UTR|SIN|IND|NOM//obl//57 1998//RG|NOM//nummod//55 entledigades//VB|PRT|SFO//parataxis//4 Urban//PM|NOM//nsubj:pass//57 Hansson-Brusewitz//PM|NOM//flat//58 .//MAD//punct//4
Till statsrådet Maj-Inger Klingvall ;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 26//RG|NOM//nummod//5 februari//NN|UTR|SIN|IND|NOM//nsubj:pass//2 1998//RG|NOM//nummod//5 f.d.//JJ|AN//conj//2 byråchefen//NN|UTR|SIN|DEF|NOM//nmod//9 Einar//PM|NOM//nsubj//7 Edvardsson//PM|NOM//flat:name//9 ,//MID//punct//9 Pensionärernas//NN|UTR|PLU|DEF|GEN//nmod:poss//13 Riksorganisation//NN|UTR|SIN|IND|NOM//nsubj:pass//2 ,//MID//punct//15 fil.mag//PM|NOM//conj//13 .//MID//punct//13
Till statsrådet Maj-Inger Klingvall ;Maj//PM|NOM//nmod//18 Sparrman//PM|NOM//appos//13 ,//MID//punct//21 Sveriges//PM|GEN//nmod:poss//21 Pensionärsförbund//NN|NEU|SIN|IND|NOM//conj//18 ,//MID//punct//21 departementssekreteraren//NN|UTR|SIN|DEF|NOM//conj//13 Bo//PM|NOM//nmod//23 Torpare//PM|NOM//flat//24 ,//MID//punct//25 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//23 ,//MID//punct//27 byrådirektören//NN|UTR|SIN|DEF|NOM//nmod//30 Beryl//PM|NOM//nmod:poss//35 Lindroth//PM|NOM//flat//30 ,//MID//punct//33 Riksförsäkringsverket//NN|NEU|SIN|DEF|NOM//conj//30 ,//MID//punct//30 avdelningsdirektören//NN|UTR|SIN|DEF|NOM//conj//13 Leif//PM|NOM//nsubj//35 Larsson//PM|NOM//flat:name//36 ,//MID//punct//39 Riksskatteverket//NN|NEU|SIN|DEF|NOM//conj//35 och//KN//cc//41 avdelningsdirektören//NN|UTR|SIN|DEF|NOM//nmod//42 Ingemar//PM|NOM//conj//35 Svensson//PM|NOM//flat:name//42 ,//MID//punct//45 Riksförsäkringsverket//NN|NEU|SIN|DEF|NOM//conj//35 .//MAD//punct//2
Till statsrådet Maj-Inger Klingvall ;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 19//RG|NOM//nummod//5 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//2 1998//RG|NOM//nummod//7 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//appos//5 Kristina//PM|NOM//conj//5 Andersson//PM|NOM//flat:name//8 och//KN//cc//11 ekonomen//NN|UTR|SIN|DEF|NOM//nmod//12 Eeva//PM|NOM//nmod//13 Seppälä//PM|NOM//conj//5 .//MAD//punct//2
Till statsrådet Maj-Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//10 ,//MID//punct//0 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//6 Ö-garpsutredningen//NN|UTR|SIN|DEF|NOM//obj//4 ,//MID//punct//0 får//VB|PRS|AKT//aux//10 härmed//AB//advmod//10 överlämna//VB|INF|AKT//ROOT//10 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//12 SOU//PM|NOM//obj//10 1999:17//RG|NOM//obj//10 ,//MID//punct//15 Garantipension//NN|UTR|SIN|IND|NOM//conj//13 och//KN//cc//17 bosättningstillägg//NN|NEU|SIN|IND|NOM//conj//13 för//PP//case//19 personer//NN|UTR|PLU|IND|NOM//obl//20 födda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//10 år//NN|NEU|SIN|IND|NOM//nmod//22 1937//RG|NOM//obl//20 eller//KN//cc//24 tidigare//AB|KOM//conj//20 .//MAD//punct//10
Till statsrådet Maj-Inger Klingvall ;Utredningsuppdraget//NN|NEU|SIN|DEF|NOM//nsubj//6 är//VB|PRS|AKT//cop//6 i//PP//advmod//6 och//KN//fixed//2 med//PP//fixed//2 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//6 avslutat//PC|PRF|NEU|SIN|IND|NOM//ROOT//6 .//MAD//punct//6
Till statsrådet Maj-Inger Klingvall ;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 februari//NN|UTR|SIN|IND|NOM//obl//0 1999//RG|NOM//nummod//2
Till statsrådet Maj-Inger Klingvall ;Siv//PM|NOM//ROOT//0 Helmer//PM|NOM//flat:name//0 ///MID//cc//3 Kristina//PM|NOM//conj//0 Andersson//PM|NOM//flat//3
Till statsrådet Maj-Inger Klingvall ;Eeva//PM|NOM//nmod//1 Seppälä//PM|NOM//ROOT//1

